,PD wo Tc vs. Ctrl wo Tc,PD with Tc vs. PD wo Tc,PD with Tc vs. Ctrl with Tc,Ctrl with Tc vs. Ctrl wo Tc
COLGALT2,True,False,True,False
CORO1A,False,True,True,False
COX17,True,False,False,False
CRB1,True,False,True,False
CREBL2,False,False,True,False
CRTAM,False,True,True,False
CRYZ,True,False,True,False
CSGALNACT1,True,False,False,False
CSMD3,False,True,False,False
CSPG5,False,True,False,False
CTSA,False,True,False,False
CTSB,True,False,True,False
CTSC,True,True,False,True
CTSS,False,True,True,True
CTSZ,False,True,True,False
CTTNBP2,False,False,True,False
CXCL9,False,True,True,True
CXCR4,False,True,False,False
CXorf56,True,False,True,False
CYBA,False,True,False,False
CYP26B1,True,False,True,False
CYP27A1,True,False,True,False
CYSTM1,True,False,True,False
DACT1,False,False,True,False
DACT3,False,False,False,True
DDX58,False,True,False,False
DHCR7,False,True,False,False
DHRS7,True,False,True,False
DLK2,False,False,True,False
DNAJB1,False,True,False,False
DNAJB9,False,True,False,False
DNAJC10,False,True,False,False
DNAJC3,False,True,False,False
DNER,False,True,False,False
DPP3,False,True,True,False
DYNLT3,False,False,True,False
EBPL,True,False,False,False
ECHDC2,False,False,True,False
EDEM1,False,True,True,False
EHD1,False,True,False,False
EMILIN2,False,True,False,False
ENO1,False,True,False,False
ENO2,False,True,True,False
ENPP4,False,True,False,False
ENTPD1,False,True,True,False
ERC2,False,False,False,True
ERO1A,False,True,False,False
ERO1B,True,True,False,False
EVI2B,False,True,True,True
FAM107A,False,True,False,False
FAM129A,False,True,True,False
FAM189A2,False,False,True,False
FAM234B,False,True,False,False
FAM84A,True,False,False,False
FAM8A1,False,True,False,False
FAT3,False,True,False,False
FIGN,False,False,True,False
FKBP4,True,False,True,False
FKBP5,False,True,True,False
FLOT2,False,True,False,False
FLRT3,True,False,True,False
FNBP1L,False,True,False,False
FRAS1,True,False,True,False
FRMD4B,True,True,False,False
FSTL1,False,True,False,False
FUT9,False,True,False,False
FXYD5,False,True,True,True
FZD1,True,False,False,False
FZD5,True,True,True,True
FZD7,False,False,False,True
FZD8,True,False,False,False
GABRA1,True,False,False,False
GABRG2,True,False,True,False
GAD2,False,False,True,False
GALNT6,False,True,True,False
GAS6,False,False,True,False
GCLM,True,False,False,False
GCNT1,True,False,True,False
GIMAP4,False,True,True,True
GK,True,False,True,False
GK5,False,False,True,False
GLB1L2,True,True,False,False
GLIPR1,False,True,True,False
GLRX,False,True,False,False
GLRX2,False,False,True,False
GLRX3,False,False,True,False
GLS,True,False,False,False
GOSR1,True,False,False,False
GOT1,True,True,False,False
GPM6A,False,True,True,False
GPR22,True,False,True,False
GPRC5B,False,True,False,True
GRIA1,False,True,False,False
GRIA2,False,True,True,False
GRIA3,False,True,True,False
GRID2,True,False,True,False
GRIK1,True,False,True,False
GRK5,False,True,True,False
GUCY1B1,True,False,False,False
GUK1,False,False,True,False
GYPC,False,True,True,False
HACD4,False,True,False,False
HCN1,True,False,True,False
HLA-A,False,True,False,True
HLA-B,False,True,False,True
HLA-C,False,True,False,True
HLA-DMA,False,True,True,True
HLA-DMB,False,True,False,True
HLA-DOA,False,True,False,True
HLA-DPA1,False,True,True,True
HLA-DPB1,False,True,True,False
HLA-DQB1,False,True,True,True
HLA-DRA,False,True,False,True
HLA-E,False,True,True,True
HLA-F,False,True,True,True
HOOK1,False,True,False,False
HPS1,False,False,True,False
HPS6,False,False,True,False
HPX,True,False,False,False
HRK,False,False,True,False
HSD17B10,False,True,True,False
HSP90B1,False,True,False,False
HSPA4L,False,True,False,False
HSPA9,False,True,False,False
HTR2C,True,True,False,False
HTR3A,True,False,True,False
HYOU1,False,True,False,False
IDH1,False,True,False,False
IDS,True,True,False,False
IFI44,False,True,True,False
IFI44L,True,True,True,True
IFIT3,False,True,True,True
IGDCC3,True,False,True,False
IGFLR1,False,True,False,False
IGLON5,False,True,False,False
IKBKE,False,True,True,False
IL10RA,False,True,True,False
IL18BP,False,True,False,False
IL2RA,False,True,False,True
IL6R,False,False,True,False
IMPAD1,False,True,True,False
INAVA,False,True,False,False
IRF7,True,True,True,True
ISG15,False,True,True,True
ISLR2,True,False,True,False
ITPR1,False,False,True,False
KCNA2,True,False,True,False
KCND2,True,False,True,False
KCNH5,True,True,False,False
KCNH8,False,False,True,False
KCNJ16,True,False,False,False
KCNJ3,False,True,True,False
KCNJ6,True,True,False,False
KCNK12,True,False,True,False
KCNK5,False,False,True,False
KCNK9,True,False,True,False
KCNMA1,False,True,False,False
KCNN3,True,False,False,False
KCNQ3,True,False,False,False
KCTD11,False,False,True,False
KDELR2,False,True,False,False
KDM5B,False,False,True,False
KIR2DL4,False,True,False,False
KLHDC8A,True,True,False,False
KREMEN1,False,True,False,False
LAMC1,False,True,False,False
LAMP1,False,False,True,False
LAP3,False,False,True,False
LAPTM5,False,True,True,True
LARGE1,True,False,False,False
LGALS8,True,True,True,False
LGI1,True,False,True,False
LHFPL6,True,True,False,False
LIMCH1,False,True,False,False
LIN7A,True,True,False,False
LINGO2,True,False,True,False
LMAN1,False,True,False,False
LNX1,True,False,True,False
LPAR1,True,False,True,False
LPAR6,False,True,True,False
LPL,True,False,True,False
LRP1B,True,True,False,False
LRP6,False,False,True,False
LRRC4C,True,False,True,False
LRRC8C,False,True,True,False
LRRN2,False,True,False,True
LTB,False,True,True,True
M6PR,True,False,False,False
MAN1C1,False,True,True,False
MAN2B2,False,False,True,False
MAOA,True,True,False,False
MAOB,False,True,True,False
MAP7,False,True,False,False
MAP7D2,True,False,True,False
MBIP,True,False,True,False
MCAM,True,False,False,False
MCL1,False,True,False,True
MCUB,False,True,False,False
MCUR1,True,False,False,False
MDM2,False,True,False,False
MFSD4A,False,True,False,False
MGAT1,False,True,False,False
MGAT2,False,True,False,False
MINDY2,False,True,False,False
MITD1,False,True,False,False
MR1,False,True,True,False
MTR,False,True,False,False
MX1,False,True,True,True
MYD88,False,True,True,False
MYOM2,True,False,True,False
MYORG,True,False,False,False
NAPB,True,True,False,False
NCALD,True,True,False,False
NCAM1,False,True,False,False
NCAM2,True,False,True,False
NCEH1,True,False,False,False
NEGR1,False,True,True,False
NELL1,True,False,False,False
NKTR,False,True,False,False
NLGN1,False,True,False,False
NLGN4Y,True,False,False,False
NME6,False,False,True,False
NOL3,False,False,True,False
NPTX1,True,False,True,True
NPTX2,False,False,True,False
NPY,True,False,False,False
NRCAM,True,False,True,False
NRGN,True,False,True,False
NRN1,True,False,True,False
NRXN1,False,True,True,False
NRXN2,False,True,True,False
NRXN3,True,False,True,False
NT5DC2,False,True,False,False
NT5E,False,True,False,False
NTM,False,True,False,False
NTNG1,True,False,True,True
NWD2,False,False,True,False
NXPH1,True,False,True,False
OCRL,False,False,True,False
OPCML,True,True,False,False
ORMDL3,False,True,True,False
OXA1L,True,False,False,False
P2RY1,False,False,True,False
P3H1,False,True,False,False
P4HB,False,True,True,False
PATJ,True,False,False,False
PAX7,True,True,True,False
PCDH17,True,True,False,False
PCDH18,True,True,False,False
PCDH9,False,False,True,False
PCDHB14,True,False,False,False
PCDHGA3,True,False,True,False
PCLO,False,True,True,False
PDE10A,False,True,False,False
PDE1A,False,True,False,False
PDE3B,False,True,True,False
PDE7A,False,True,True,False
PDIA2,True,False,True,False
PDIA4,False,False,True,False
PDK3,True,False,True,False
PDZRN3,False,False,True,False
PHACTR3,False,True,False,False
PHLDA1,False,True,False,False
PIGA,True,False,False,False
PIGP,True,False,False,False
PIN4,True,False,True,False
PJA1,True,True,True,False
PLS3,False,False,True,False
PLXDC2,False,True,False,False
POFUT2,False,True,False,False
POLQ,False,False,True,False
PON2,True,True,False,False
PPA1,True,False,False,False
PPFIA3,False,True,True,False
PPIF,True,False,False,False
PPIL3,True,False,True,False
PPP1CA,False,True,True,False
PPP1R9A,False,True,False,False
PRDX2,True,False,False,False
PRDX4,True,False,True,False
PRELID3B,True,False,False,False
PRF1,False,True,True,True
PRNP,True,False,True,False
PRRC1,False,False,True,False
PRSS23,False,True,True,False
PSAT1,False,True,False,False
PTGES,True,False,False,False
PTPRC,False,True,True,True
PTPRD,True,False,False,False
PTPRN,True,False,False,False
PXMP4,False,False,True,False
RASSF3,True,True,True,False
RGMA,False,True,False,False
RNF128,True,True,True,True
ROBO1,True,False,True,False
ROBO2,True,True,False,False
RSAD2,False,True,True,False
RTL8A,True,False,True,False
RTN1,False,True,False,False
RTN4R,False,True,False,False
RYR1,False,True,False,False
RYR3,True,False,True,True
S100A10,False,True,False,False
S100A11,False,True,False,False
SAMD11,True,False,True,False
SARAF,True,True,False,False
SC5D,False,True,False,False
SCN1A,False,False,False,True
SCN2A,False,True,True,False
SCN3B,False,True,False,False
SELENON,False,True,False,False
SFXN5,False,False,True,False
SGCB,True,False,False,False
SGCD,False,True,True,False
SH3BGRL3,False,True,False,False
SH3TC1,False,False,True,False
SIGIRR,False,True,True,True
SLC1A2,False,False,True,False
SLC1A3,True,True,False,False
SLC1A4,True,False,True,False
SLC1A6,False,True,False,False
SLC25A14,True,False,False,False
SLC27A3,False,True,True,False
SLC35A2,True,False,True,False
SLC35E1,False,True,False,False
SLC38A1,False,False,True,False
SLC38A2,False,False,True,False
SLC38A3,False,False,True,False
SLC6A1,False,True,False,True
SLC6A11,True,True,False,False
SLC6A13,False,False,True,False
SLC6A15,True,False,False,False
SLC8A3,True,False,False,False
SLC9A5,False,False,True,False
SLC9A6,False,False,True,False
SLIT2,False,True,False,False
SLIT3,False,True,True,False
SLITRK4,True,False,True,False
SLITRK5,True,False,True,False
SMPD1,True,False,False,False
SNAP25,False,True,False,False
SNAP29,False,False,True,False
SNCAIP,False,True,False,False
SNN,False,True,False,False
SORT1,False,False,True,False
SPATA20,True,False,False,False
SPHKAP,True,False,True,False
SRGN,False,True,True,True
SRPRA,False,True,False,False
ST6GAL1,False,True,True,False
ST8SIA3,True,False,True,False
STX10,True,False,False,False
STX7,False,True,False,False
SUFU,True,False,False,False
SULF2,False,True,True,False
SUMF1,False,False,True,False
SUSD4,False,False,True,False
SYT1,True,True,True,False
SZRD1,False,True,True,False
TAB3,True,False,False,False
TAF9B,True,False,False,False
TAGLN2,True,False,True,False
TAP1,False,True,True,True
TAP2,False,True,False,True
TAPBP,False,True,True,True
TAPT1,True,False,False,False
TBCA,True,False,False,False
TENM1,True,False,True,False
TESPA1,False,True,True,True
THBS4,True,False,False,False
THEMIS2,False,True,True,False
TLR4,False,False,True,False
TM2D3,False,True,False,False
TMEM164,True,False,True,False
TMEM17,True,False,False,False
TMEM173,False,True,True,False
TMEM74B,False,False,True,False
TMX4,True,False,True,False
TNF,False,True,True,False
TNFRSF14,False,True,True,True
TNFRSF18,False,True,True,False
TNFRSF1A,False,True,False,False
TNFRSF9,False,True,True,True
TNFSF10,False,True,True,False
TNR,False,True,True,False
TNXB,False,True,True,False
TOMM34,False,False,True,False
TP53I3,False,True,False,False
TRAF1,False,True,False,False
TRAF5,False,True,True,False
TRIM21,False,True,True,True
TRIM22,False,True,False,False
TRIM25,True,True,True,False
TRPC3,False,False,True,False
TRPV2,False,True,True,False
TSC22D4,False,True,False,False
TSPAN3,False,True,False,False
TTC17,False,True,False,False
TTN,False,False,True,False
TTR,True,False,False,False
TXN,True,False,True,False
TYMP,False,True,False,False
UBC,True,True,False,False
VAMP8,False,True,True,False
VKORC1,False,False,True,False
VLDLR,False,False,True,False
VPS18,False,False,True,False
VPS37D,False,False,True,False
VSIR,False,True,True,False
VWA1,False,True,False,False
WARS,False,True,True,True
WARS2,True,False,False,False
WASHC2C,False,True,True,False
WDFY1,True,False,False,False
WNT10B,True,False,True,False
WNT3,True,False,True,False
WNT5A,True,True,True,True
WNT7B,True,False,True,False
XBP1,False,True,False,False
YWHAZ,True,False,True,False
ZBED9,True,False,True,False
ZC3H12C,True,False,False,False
ZC3HAV1,False,True,True,True
ZDHHC9,True,False,True,False
ZFPL1,False,False,True,False
ZNF212,True,False,False,False
ZNF354C,True,False,True,False
ZNF75D,True,False,True,False
