,PD wo Tc vs. Ctrl wo Tc,PD with Tc vs. PD wo Tc,PD with Tc vs. Ctrl with Tc,Ctrl with Tc vs. Ctrl wo Tc
FOS,False,True,False,True
FURIN,False,False,False,True
FUT9,False,True,False,False
FYB1,False,True,True,True
FZD7,False,False,False,True
GADD45B,False,True,False,True
GBE1,False,True,False,False
GBP1,False,True,True,True
GIMAP4,False,True,False,True
GK5,False,False,True,False
GNAI2,False,True,False,False
GPNMB,False,False,False,True
GPR12,False,True,True,False
GPR17,False,True,False,False
GPR26,False,True,False,False
GPX3,False,True,True,False
GREM2,False,False,True,False
HAPLN3,False,True,False,True
HAVCR2,False,True,True,False
HCLS1,False,True,True,True
HLA-A,False,True,False,True
HLA-B,False,True,False,True
HLA-C,False,True,False,True
HLA-DMA,False,True,True,True
HLA-DMB,False,True,False,True
HLA-DOA,False,True,False,True
HLA-DPA1,False,True,True,True
HLA-DPB1,False,True,True,False
HLA-DQB1,False,True,True,True
HLA-DRA,False,True,False,True
HLA-E,False,True,True,True
HLA-F,False,True,True,True
HSPA4L,False,True,False,False
HTR2C,False,True,False,False
ICAM1,False,True,True,True
ICAM2,False,True,False,True
IER3,False,False,False,True
IFI27,False,True,True,True
IFI35,False,True,False,True
IFI44,False,True,True,False
IFI44L,False,True,True,True
IFI6,False,True,False,True
IFIT1,False,True,False,False
IFIT2,False,True,False,True
IFIT3,False,True,True,True
IFITM1,False,True,True,True
IFITM2,False,True,False,True
IFITM3,False,True,False,False
IGFBP2,False,True,True,False
IGFBP3,False,True,False,False
IGFBP5,False,True,False,False
IGFBP7,False,False,True,False
IGSF3,False,False,True,False
IKZF1,False,True,True,False
IL10RA,False,True,True,False
IL13RA1,False,True,True,True
IL16,False,True,False,True
IL18BP,False,True,False,False
IL2RA,False,True,True,True
IL2RB,False,True,True,True
IL2RG,False,True,True,True
IL6R,False,False,True,False
IL6ST,False,True,True,False
IL7R,False,True,True,True
IRAK4,False,True,True,False
IRF1,False,True,True,True
IRF2,False,False,True,False
IRF4,False,True,True,True
IRF7,False,True,True,True
IRF8,False,True,False,True
IRF9,False,True,False,True
ISG15,False,True,True,True
ITGA2,False,False,True,False
ITGA5,False,True,False,False
ITGB1,False,False,True,False
ITGB2,False,True,True,True
ITGB4,False,True,False,False
ITK,False,True,True,True
JAK3,False,True,True,False
JUNB,False,False,False,True
KIT,False,False,True,False
LAIR1,False,True,True,True
LAP3,False,True,True,True
LAPTM5,False,True,True,True
LAT2,False,False,True,False
LCP1,False,True,True,True
LGALS1,False,True,False,False
LGALS3,False,True,False,True
LGALS3BP,False,True,False,True
LIFR,False,True,False,False
LPAR1,False,False,True,False
LPAR6,False,True,False,False
LRP1,False,True,True,False
LTB,False,True,True,True
LY6E,False,True,True,False
LYN,False,False,True,False
MASP1,False,False,True,False
MMP14,False,True,False,False
MMP17,False,False,True,False
MMP2,False,True,True,False
MMP25,False,True,False,False
MR1,False,True,True,False
MSN,False,True,False,False
MT-ND2,False,False,True,False
MX1,False,True,True,True
MX2,False,True,True,False
MYD88,False,True,True,False
MYO1F,False,True,True,True
NAMPT,False,True,False,False
NCKAP1L,False,True,True,True
NEO1,False,True,False,False
NEUROD2,False,False,False,True
NFKB1,False,True,True,False
NMI,False,True,True,False
NNMT,False,True,False,True
NPPA,False,False,True,False
NRP1,False,False,True,False
NT5E,False,True,False,False
NTNG1,False,False,False,True
NTRK3,False,True,True,False
OAS1,False,True,True,True
OAS2,False,True,True,True
OAS3,False,True,True,True
OASL,False,True,True,False
P2RY1,False,False,True,False
PARP12,False,True,True,True
PAX7,False,True,False,False
PDE10A,False,True,False,False
PDGFRB,False,True,True,False
PECAM1,False,True,True,True
PIK3AP1,False,False,True,False
PIK3R1,False,False,True,False
PIK3R5,False,True,True,False
PLAC8,False,False,False,True
PLEK,False,True,False,False
PLP2,False,True,True,False
PLSCR1,False,True,False,False
PLXDC2,False,True,False,False
POFUT2,False,True,False,False
PRF1,False,True,True,True
PRKCD,False,False,True,False
PROS1,False,True,False,False
PSMB9,False,True,True,True
PSME2,False,True,False,False
PTGIS,False,False,True,False
PTK2B,False,True,False,True
PTPN6,False,True,True,True
PTPRC,False,True,True,True
PTPRF,False,False,True,False
PTPRU,False,True,False,False
RAC2,False,False,False,True
RARRES3,False,True,True,False
ROBO1,False,False,True,False
ROBO2,False,True,False,False
RSAD2,False,True,True,False
S100A10,False,True,False,False
S100A11,False,True,False,False
S100A4,False,True,True,False
S1PR1,False,True,False,False
S1PR4,False,True,False,True
SASH3,False,False,True,True
SCARB1,False,True,False,False
SELL,False,True,True,True
SELPLG,False,True,True,False
SERPING1,False,True,True,True
SGO2,False,False,True,False
SH2D2A,False,False,False,True
SIGIRR,False,True,True,True
SLA,False,True,False,False
SLAMF1,False,True,False,True
SLAMF6,False,True,False,True
SLC27A3,False,True,True,False
SLIT2,False,True,False,False
SMIM12,False,False,True,False
SNX20,False,True,True,True
SOCS3,False,True,False,True
SP110,False,True,True,False
SPP1,False,True,False,False
SRGN,False,True,True,True
ST3GAL6,False,False,True,False
ST8SIA1,False,False,True,False
STAT1,False,True,False,True
STAT2,False,True,False,True
STAT3,False,True,False,True
STAT4,False,True,True,True
STAT5A,False,True,True,False
STAT6,False,True,False,False
TAB3,False,False,True,False
TAP1,False,True,True,True
TAPBP,False,False,False,True
TBX21,False,True,True,False
TGFB1,False,True,True,False
THEMIS2,False,True,True,False
TIMP3,False,True,False,False
TIMP4,False,True,False,True
TLR4,False,False,True,False
TMIGD2,False,True,True,False
TNF,False,True,True,False
TNFAIP3,False,True,False,False
TNFAIP6,False,False,True,False
TNFRSF14,False,True,True,True
TNFRSF18,False,True,True,False
TNFRSF1A,False,True,False,False
TNFRSF1B,False,True,True,True
TNFRSF9,False,False,False,True
TNFSF10,False,True,True,False
TNR,False,True,True,False
TNXB,False,True,False,False
TPST2,False,False,True,False
TRADD,False,True,False,False
TRIM14,False,True,False,False
TRIM21,False,True,True,True
TRIM22,False,True,True,True
TSPAN2,False,True,False,False
TSPAN3,False,True,False,False
TTN,False,False,True,False
TUB,False,True,True,False
TYMP,False,True,False,False
UBE2L6,False,True,True,True
VAMP8,False,True,True,False
VAV1,False,True,True,True
VCAM1,False,True,True,False
VCAN,False,True,True,False
VEGFA,False,True,True,False
VKORC1,False,False,True,False
VSIR,False,True,True,False
XAF1,False,True,True,True
ZNF536,False,False,True,False
