,PD wo Tc vs. Ctrl wo Tc,PD with Tc vs. PD wo Tc,PD with Tc vs. Ctrl with Tc,Ctrl with Tc vs. Ctrl wo Tc
DCX,False,True,False,False
DIO3,True,False,False,False
DLL1,False,False,True,False
DLX1,True,False,True,False
DLX2,True,True,True,False
DNAJB9,False,True,False,False
DSCAM,True,False,True,False
DSCAML1,False,False,True,False
DYNLT3,False,False,True,False
ECE1,False,True,True,False
ECM2,True,False,True,False
EDN1,True,False,False,False
EDNRB,False,True,False,False
EFNA1,False,True,False,True
EFNA5,False,False,True,False
EFNB3,False,True,False,True
EMILIN2,False,True,False,False
EMX2,True,False,False,False
EN2,True,False,True,False
EPHA5,True,False,True,False
EPHA8,True,False,False,False
EPHB6,False,False,True,False
ERBB2,True,False,True,False
ERBB4,True,False,True,False
EVI2A,False,False,False,True
EVI2B,False,True,True,True
F3,False,True,False,True
FASLG,False,True,True,False
FAT3,False,True,False,False
FAT4,True,False,True,False
FBN1,False,True,True,False
FGF1,True,True,False,False
FGF11,True,False,False,False
FGF12,False,True,True,False
FGF13,True,True,True,False
FGF14,True,False,True,False
FGF9,True,False,True,False
FGFR1,True,False,False,False
FGFR2,True,True,False,False
FGFR3,True,True,False,True
FLT1,True,False,False,False
FOS,False,False,False,True
FRZB,True,False,False,False
FST,True,False,False,False
FURIN,False,True,True,True
FYB1,False,False,False,True
FZD1,True,False,False,False
FZD5,True,True,True,True
FZD7,False,False,False,True
FZD8,True,False,False,False
GADD45B,False,True,False,True
GAS6,False,False,True,False
GBP1,False,True,True,True
GDF11,False,True,False,False
GFRA2,True,False,False,False
GJD2,True,False,False,False
GPNMB,False,False,False,True
GPR12,False,True,True,False
GPR15,False,True,True,False
GPR22,True,False,True,False
GPR26,True,True,False,False
GPR68,False,True,False,False
GRB10,False,False,False,True
GREM1,True,False,False,False
GREM2,True,False,True,False
GRIN2A,False,True,False,False
HAPLN3,False,False,False,True
HAVCR2,False,False,True,False
HCLS1,False,False,False,True
HCRT,True,False,True,False
HECW1,False,False,True,False
HLA-A,False,False,False,True
HLA-B,False,True,False,True
HLA-DMB,False,True,False,True
HLA-DOA,False,True,False,True
HLA-DPA1,False,True,True,True
HLA-DPB1,False,True,True,False
HLA-DQB1,False,True,True,True
HLA-DRA,False,True,False,True
HLA-E,False,False,True,True
HLA-F,False,True,True,True
HOXB3,False,True,False,False
HOXC10,False,False,False,True
HPX,True,False,False,False
HRH3,False,True,False,False
HS3ST4,True,True,False,False
HSPA9,False,True,False,False
HTR1E,True,False,False,False
HTR2C,True,True,False,False
ICAM1,False,True,True,True
ICAM2,False,False,False,True
ICAM5,False,False,True,False
IER3,True,True,False,True
IFI27,False,True,True,True
IFI35,False,True,False,True
IFI44,False,True,True,False
IFI44L,True,True,True,True
IFI6,False,True,False,True
IFIT1,False,True,False,False
IFIT3,False,True,True,True
IFITM1,True,True,True,True
IFNAR1,True,False,False,False
IGF1,True,False,False,False
IGFBP2,False,True,True,False
IGFBP7,True,False,True,False
IGSF3,False,False,True,False
IKZF1,False,True,False,False
IL10RA,False,True,True,False
IL11RA,True,False,False,False
IL13RA1,False,False,True,True
IL16,True,True,True,True
IL17RA,True,True,True,False
IL18BP,False,True,False,False
IL2RA,False,True,True,True
IL2RB,False,True,True,True
IL2RG,False,True,True,True
IL6R,False,False,True,False
IL6ST,True,True,True,False
IL7R,False,True,True,True
IRF1,False,True,True,True
IRF4,False,False,False,True
IRF7,True,True,True,True
IRF8,False,True,False,True
IRF9,False,True,False,True
IRX1,True,False,True,False
IRX2,True,False,True,False
IRX3,True,False,True,False
ISG15,False,True,True,True
ISLR2,True,False,True,False
ITGA10,True,False,False,False
ITGA2,True,False,True,False
ITGA3,False,False,True,False
ITGA5,False,True,False,False
ITGA8,False,False,True,False
ITGB1,False,False,True,False
ITGB2,False,True,True,True
ITGB4,True,True,False,False
ITIH5,False,True,False,False
ITK,False,False,False,True
JAG2,True,False,False,False
JAK3,False,True,True,False
JAM2,False,True,False,False
JUNB,False,True,True,True
KIRREL3,False,False,True,False
KIT,True,False,True,False
KPNA2,False,False,True,False
LAIR1,False,True,True,True
LAMA4,False,True,False,False
LAMA5,True,False,False,False
LAMB1,True,False,False,False
LAMC1,False,True,False,False
LAPTM4B,False,True,False,False
LAPTM5,False,True,True,True
LAT2,False,False,True,False
LDB2,True,False,False,False
LEF1,False,True,False,False
LGALS1,False,True,False,False
LGI1,True,False,True,False
LHX2,True,False,False,False
LHX4,True,False,True,False
LIFR,False,True,False,False
LINGO2,True,False,True,False
LRIG1,False,True,False,False
LRP6,False,False,True,False
LRPAP1,False,True,False,False
LRRC4C,True,False,True,False
LRRN2,False,True,False,True
LTB,False,True,True,True
LY6E,False,True,True,False
LYPD1,False,True,False,False
MAL2,False,False,False,True
MAOA,True,False,False,False
MASP1,True,False,False,False
MBP,True,False,True,False
MCHR1,False,True,True,False
MEIS1,True,False,False,False
MEIS2,True,False,False,False
MET,True,False,True,False
MFAP3,False,False,True,False
MMP14,False,True,False,False
MMP2,False,True,True,False
MMP9,True,False,False,False
MR1,False,True,True,False
MSX1,True,False,True,False
MTSS1L,False,True,False,False
MX1,False,False,False,True
MX2,False,True,True,False
MYD88,False,True,True,False
MYOM2,True,False,True,False
NCAM1,False,True,False,False
NCAM2,True,False,True,False
NCAN,True,False,True,False
NCKAP1L,False,False,True,True
NDNF,False,False,False,True
NDP,True,False,True,False
NECTIN3,False,True,False,False
NEFL,False,False,False,True
NEFM,False,False,False,True
NEGR1,False,True,True,False
NELL1,True,False,False,False
NEO1,False,True,False,False
NEUROD1,True,False,False,False
NEUROD2,True,False,True,True
NEUROD6,True,False,True,False
NFATC4,False,False,True,False
NHLH2,False,False,True,False
NLGN1,False,True,False,False
NOG,True,False,True,False
NOTCH1,False,True,False,False
NPTX1,True,False,True,True
NPY,True,False,False,False
NRCAM,True,False,True,False
NRG2,False,False,True,False
NRP1,True,False,True,False
NRP2,True,False,True,False
NRXN1,False,True,True,False
NRXN2,False,True,True,False
NRXN3,True,False,True,False
NTM,False,True,False,False
NTN1,False,True,True,True
NTNG1,True,False,True,True
NTRK2,False,True,False,False
NTRK3,True,True,True,False
OAS1,False,True,True,True
OAS2,False,False,True,True
OAS3,False,True,True,True
OASL,False,True,False,False
ONECUT2,True,True,False,False
ONECUT3,False,False,False,True
OPCML,True,True,False,False
OTP,False,False,True,False
OTX1,False,True,False,False
P2RY1,False,False,True,False
PARP12,False,False,False,True
PAX6,True,False,False,False
PAX7,True,True,True,False
PBX1,True,False,True,False
PBX3,True,False,True,False
PCDH10,True,True,True,False
PCDH17,True,True,False,False
PCDH18,True,True,False,False
PCDH8,True,True,False,False
PCDH9,True,False,True,False
PCDHB14,True,False,False,False
PCDHGA3,True,False,True,False
PCDHGB5,False,False,True,False
PCLO,False,True,True,False
PCSK1,False,True,False,False
PCSK1N,False,True,True,False
PCSK5,True,True,False,False
PDGFC,False,True,True,False
PDGFRA,True,False,True,False
PDGFRB,False,True,True,False
PDK1,False,True,False,False
PECAM1,False,False,True,True
PHACTR3,False,True,False,False
PHF19,False,True,True,False
PHYHIP,False,True,False,False
PIK3R1,False,False,True,False
PIK3R5,False,True,True,False
PLXDC2,False,True,False,False
PLXNA1,True,False,False,False
PLXNB3,False,False,True,False
PMCH,False,True,False,False
PNOC,False,False,True,False
POU2F1,False,False,True,False
POU2F2,True,False,True,False
POU3F1,True,False,True,False
POU3F2,True,False,True,False
POU3F3,True,False,True,False
POU4F1,True,False,True,False
POU4F2,True,False,True,False
PRF1,False,True,True,True
PROX1,False,False,True,False
PRRX1,True,False,True,False
PSMB9,False,True,True,True
PTK2B,False,True,False,True
PTPN11,True,False,False,False
PTPN6,False,True,True,True
PTPRB,False,False,True,False
PTPRC,False,True,True,True
PTPRD,True,False,False,False
PTPRF,False,False,True,False
PTPRM,False,True,True,False
PTPRT,True,True,False,False
PTPRU,False,True,False,False
RELN,True,True,True,False
RET,False,False,False,True
RHOU,False,True,False,False
ROBO1,True,False,True,False
ROBO2,True,True,False,False
ROBO3,True,False,True,False
RSAD2,False,True,True,False
RTN4R,False,True,False,False
S1PR3,False,True,True,False
S1PR4,False,True,True,True
SATB1,True,True,False,False
SCN3B,False,True,False,False
SELL,True,True,True,True
SEMA3B,False,False,True,False
SEMA3F,True,False,True,False
SEMA4A,True,False,True,False
SEMA4D,True,True,True,False
SEMA4F,False,False,True,False
SEMA5A,False,True,False,False
SEMA6D,True,False,False,False
SERPING1,False,False,False,True
SEZ6L,False,False,False,True
SFRP4,True,False,True,False
SGO2,False,False,True,False
SH2D2A,False,False,False,True
SHC3,False,False,True,False
SIGIRR,False,True,True,True
SIX2,False,False,True,False
SLA,True,False,False,False
SLAMF1,False,True,False,True
SLAMF6,False,True,True,True
SLAMF9,True,False,False,False
SLC27A3,False,True,True,False
SLC30A3,True,False,False,False
SLC43A3,False,True,False,False
SLC6A6,True,True,False,False
SLIT2,False,True,False,False
SLIT3,False,True,True,False
SLITRK4,True,False,True,False
SLITRK5,False,False,True,False
SLITRK6,False,False,False,True
SMIM12,False,False,True,False
SNAP25,False,True,False,False
SOCS3,False,True,False,True
SOX10,False,True,False,False
SOX6,True,False,True,False
SOX8,False,False,True,False
SOX9,True,True,True,False
SP110,False,True,True,False
SPON1,False,True,False,False
SPP1,False,True,True,False
SRGN,False,True,True,True
SRR,True,False,False,False
SSBP2,False,False,True,False
SST,True,False,True,False
SSTR3,False,True,True,False
STAT1,False,False,False,True
STAT2,False,False,False,True
STAT3,False,True,False,True
STAT4,False,False,True,True
STAT5A,False,True,True,False
STAT6,False,True,False,False
SUFU,True,False,False,False
SYT1,True,True,True,False
TAP1,False,False,True,True
TBR1,True,False,False,False
TBX21,False,True,True,False
TCERG1L,True,False,False,False
TCF7,False,True,False,False
TENM1,True,False,True,False
TFAP2A,True,False,True,False
TGFB1,False,True,True,False
TGFB3,False,False,True,False
TGFBR1,True,False,True,False
TGM2,False,False,False,True
THBS4,True,False,True,False
THEMIS2,False,True,True,False
TLR4,False,False,True,False
TMEM17,True,False,False,False
TMIGD2,False,True,True,False
TNF,False,True,True,False
TNFAIP6,False,False,True,False
TNFRSF14,False,True,False,True
TNFRSF1B,False,False,False,True
TNFSF10,False,True,True,False
TNR,False,True,True,False
TNXB,False,True,True,False
TOX2,True,False,True,True
TPP1,False,False,True,False
TRIM14,False,True,True,False
TRIM22,False,False,False,True
TRIM36,False,False,True,False
TSC22D4,False,True,False,False
TSPAN3,False,True,False,False
TTN,False,False,True,False
UNC5A,True,False,False,False
UNC5C,False,True,False,False
UNC5D,True,False,True,False
UTRN,False,False,True,False
VCAN,False,True,True,False
VEGFA,True,True,True,False
VGF,False,False,True,True
VKORC1,False,False,True,False
VSIR,False,True,True,False
WNT10B,True,False,True,False
WNT3,True,False,True,False
WNT5A,True,True,True,True
WNT7B,True,False,True,False
XAF1,False,True,True,True
ZNF536,True,False,True,False
