,PD wo Tc vs. Ctrl wo Tc,PD with Tc vs. PD wo Tc,PD with Tc vs. Ctrl with Tc,Ctrl with Tc vs. Ctrl wo Tc
ERBB3,False,True,False,False
ERBB4,True,False,False,False
EVI2B,False,True,True,True
F3,False,True,False,True
FAM8A1,False,True,False,False
FASLG,False,True,True,False
FAT4,True,False,True,False
FBN1,False,False,True,False
FGF1,True,False,False,False
FGF11,True,False,False,False
FGF12,False,True,True,False
FGF13,True,True,True,False
FGF14,True,False,True,False
FGFR1,True,False,False,False
FGFR2,True,False,False,False
FGFR3,True,True,False,True
FRZB,True,False,False,False
FSTL1,False,True,False,False
FURIN,False,True,True,False
FZD1,True,False,False,False
FZD5,True,True,True,True
FZD7,False,False,False,True
FZD8,True,False,False,False
GABRA5,True,False,False,False
GADD45B,False,False,False,True
GBP1,False,True,True,True
GFAP,False,True,False,False
GNAS,True,False,False,False
GPR12,False,True,True,False
GPR15,False,True,True,False
GPR26,False,True,False,False
GREM2,True,False,False,False
GRIN2A,False,True,False,False
HAPLN3,False,True,False,False
HAVCR2,False,True,True,False
HCRT,True,False,True,False
HECW1,False,False,True,False
HLA-B,False,False,False,True
HLA-DMB,False,True,False,True
HLA-DOA,False,True,False,True
HLA-DPA1,False,True,False,True
HLA-DPB1,False,True,True,False
HLA-DQB1,False,True,True,False
HLA-DRA,False,True,False,True
HLA-E,False,True,True,True
HLA-F,False,True,True,True
HPX,True,False,False,False
HS3ST4,True,True,False,False
HTR1E,True,False,False,False
HTR2C,True,False,False,False
ICAM1,False,True,True,True
ICAM5,False,False,True,False
IER3,False,False,False,True
IFI27,False,True,True,True
IFI35,False,True,False,True
IFI44,False,True,True,False
IFI44L,False,True,True,True
IFI6,False,True,False,True
IFIT3,False,True,True,True
IFITM1,True,True,True,True
IFITM3,False,True,False,False
IGF1,True,False,False,False
IGFBP2,True,True,True,False
IGFBP7,True,False,True,False
IGSF3,False,False,True,False
IL10RA,False,True,True,False
IL13RA1,False,True,True,True
IL16,True,True,True,True
IL17RA,False,False,True,False
IL18BP,False,True,False,False
IL2RA,False,True,True,True
IL2RB,False,True,True,True
IL2RG,False,True,True,True
IL6ST,True,True,True,False
IL7R,False,True,True,True
IRF1,False,True,True,True
IRF7,True,True,False,False
IRF8,False,True,False,True
IRF9,False,True,False,True
IRX1,True,False,True,False
IRX2,True,False,True,False
IRX3,True,False,True,False
ISG15,False,True,True,True
ISLR2,True,False,True,False
ITGA10,True,False,False,False
ITGA2,True,False,True,False
ITGA3,True,False,False,False
ITGA5,False,True,False,False
ITGA8,False,False,True,False
ITGB2,False,True,True,True
ITGB4,True,False,False,False
ITIH5,False,True,False,False
ITK,False,False,False,True
JAK3,False,True,True,False
JAM2,False,True,False,False
JUNB,False,True,True,False
KIT,True,False,True,False
KPNA2,False,False,True,False
LAIR1,False,True,True,False
LAMA4,False,True,False,False
LAMB1,False,False,True,False
LAMC1,False,True,False,False
LAPTM4B,False,True,False,False
LAPTM5,False,True,True,True
LEF1,False,True,False,False
LGALS1,False,True,False,False
LGALS8,True,False,True,False
LGI1,True,False,True,False
LHX2,True,False,False,False
LHX4,True,False,False,False
LINGO2,True,False,True,False
LRIG1,False,True,False,False
LRP1,True,True,True,False
LRP6,False,False,True,False
LRRC4C,True,False,True,False
LRRN2,False,False,False,True
LTB,False,True,True,True
LY6E,False,True,True,False
MAOA,True,True,False,False
MASP1,False,False,True,False
MBP,False,True,True,False
MCHR1,False,True,True,False
MEIS2,True,False,False,False
MET,True,False,True,False
MMP14,False,True,False,False
MMP2,False,True,False,False
MR1,False,False,True,False
MSX1,True,False,True,False
MTSS1L,False,True,False,False
MX1,False,True,True,False
MX2,False,True,True,False
MYD88,False,False,True,False
MYLK,True,False,True,False
MYOM2,False,False,True,False
NAMPT,False,True,False,False
NCAM1,False,True,False,False
NCAM2,True,False,True,False
NCAN,True,False,True,False
NCKAP1L,False,True,False,False
NDNF,False,False,False,True
NDP,False,False,True,False
NECTIN3,False,True,False,False
NEGR1,False,True,True,False
NELL1,True,False,False,False
NEUROD1,True,False,False,False
NEUROD2,True,False,True,True
NEUROD6,True,False,True,False
NFATC4,False,False,True,False
NOG,False,False,True,False
NOTCH1,False,True,False,False
NPTX1,True,False,True,True
NRCAM,True,False,True,False
NRP1,True,False,True,False
NRP2,True,False,True,False
NRXN1,False,True,True,False
NRXN2,False,False,True,False
NRXN3,True,False,True,False
NTM,False,True,False,False
NTN1,False,True,False,False
NTNG1,True,False,False,True
NTRK2,False,True,False,False
NTRK3,True,False,True,False
OAS1,False,True,True,True
OAS2,False,False,True,True
OAS3,False,True,True,True
OASL,False,True,False,False
ONECUT2,True,True,False,False
OPCML,True,True,False,False
PAX7,True,True,True,False
PBX1,True,False,False,False
PBX3,True,False,True,False
PCDH10,True,True,True,False
PCDH17,False,True,False,False
PCDH18,False,True,False,False
PCDH8,True,False,False,False
PCDHGA3,True,False,True,False
PCDHGB5,False,False,True,False
PCLO,False,False,True,False
PCSK1,False,True,False,False
PCSK1N,False,True,True,False
PCSK5,True,False,False,False
PDGFRA,True,False,True,False
PDGFRB,False,True,False,False
PDK1,False,True,False,False
PECAM1,False,True,True,True
PHF19,False,True,False,False
PHYHIP,False,True,False,False
PIK3R1,False,False,True,False
PIK3R5,False,True,True,False
PLXDC2,False,True,False,False
PMCH,False,True,False,False
POU2F1,False,False,True,False
POU3F1,True,False,True,False
POU3F2,True,False,False,False
POU3F3,True,False,True,False
POU4F1,True,False,True,False
POU4F2,True,False,True,False
PRF1,False,False,True,True
PROX1,False,False,True,False
PRRX1,True,False,True,False
PSMB9,False,True,True,True
PTK2B,False,True,False,True
PTPN6,False,True,True,True
PTPRB,True,False,True,False
PTPRC,False,True,True,True
PTPRD,True,False,False,False
PTPRM,False,True,True,False
PTPRT,True,True,True,False
PTPRU,False,True,False,False
RELN,True,False,True,False
RGR,True,False,False,False
RHOU,False,True,False,False
ROBO1,True,False,True,False
ROBO2,True,False,False,False
ROBO3,True,False,True,False
RSAD2,False,True,True,False
S1PR3,False,True,False,False
S1PR4,False,True,True,True
SELL,False,True,True,True
SELPLG,False,False,True,False
SEMA3B,False,False,True,False
SEMA3F,True,False,True,False
SEMA4A,True,False,True,False
SEMA4D,False,False,True,False
SEMA5A,False,True,False,False
SERPINI1,False,False,True,False
SFRP4,False,False,True,False
SHC3,True,False,False,False
SIGIRR,False,True,True,False
SLA,True,True,False,False
SLAMF1,False,True,True,True
SLAMF6,False,True,True,True
SLC27A3,False,False,True,False
SLC30A3,True,False,False,False
SLC35F5,True,False,False,False
SLC43A3,False,True,False,False
SLC6A6,True,False,False,False
SLIT3,False,True,True,False
SLITRK4,True,False,True,False
SLITRK5,True,False,True,False
SMIM12,False,False,True,False
SOCS2,True,False,False,False
SOCS3,False,True,False,True
SOX10,False,True,False,False
SOX6,True,False,True,False
SOX8,False,False,True,False
SOX9,True,True,False,False
SP110,False,True,True,False
SPON1,False,True,False,False
SPP1,False,True,True,False
SRGN,False,True,True,True
SST,True,False,True,False
SSTR3,False,False,True,False
STAT1,False,True,False,True
STAT3,False,True,False,False
STAT4,False,True,True,False
STAT5A,False,True,True,False
STAT6,False,True,False,False
SYT1,True,True,True,False
SYT13,False,True,False,False
TAP1,False,True,True,True
TBR1,True,False,False,False
TBX21,False,True,False,False
TCERG1L,True,False,True,False
TCF7,False,True,True,False
TENM1,True,False,True,False
TFAP2A,True,False,True,False
TGFB1,False,True,True,False
TGFB3,False,False,True,False
TGFBR1,False,False,True,False
THBS4,True,False,True,False
THRA,False,False,True,False
TLR4,False,False,True,False
TMIGD2,False,True,True,False
TNF,False,True,False,False
TNFRSF14,False,True,False,True
TNFSF10,False,True,True,False
TNR,False,True,False,False
TNXB,False,True,True,False
TOX2,True,False,True,False
TPP1,False,False,True,False
TPPP,False,False,True,False
TRIM14,False,True,True,False
TSC22D4,False,True,False,False
TSPAN3,False,True,False,False
UNC5A,True,False,False,False
UNC5C,False,True,False,False
UNC5D,True,False,True,False
UTRN,False,False,True,False
VCAN,False,False,True,False
VEGFA,True,True,True,False
VGF,True,False,False,True
VSIR,False,True,True,False
WNT10B,False,False,True,False
WNT3,True,False,True,False
WNT5A,True,True,True,True
WNT7B,True,False,True,False
XAF1,False,True,True,True
