,PD wo Tc vs. Ctrl wo Tc,PD with Tc vs. PD wo Tc,PD with Tc vs. Ctrl with Tc,Ctrl with Tc vs. Ctrl wo Tc
DKK1,True,False,False,False
DLK1,False,True,False,False
DNAJB1,False,True,False,False
DNAJB9,False,True,False,False
DNAJC10,False,True,False,False
DNAJC3,False,True,False,False
DRAM1,False,True,True,False
DSP,False,True,False,False
DUSP22,True,False,True,False
DYNLT3,False,False,True,False
E2F1,False,False,True,False
EBF1,False,False,True,False
ECM2,True,False,True,False
EDEM1,False,True,True,False
EIF2AK2,False,True,False,False
EMILIN3,True,False,False,True
EMP3,False,False,True,False
ENPP2,False,True,False,False
ERN1,False,False,True,False
ERO1A,False,True,False,False
ERO1B,True,True,False,False
ETFB,True,False,True,False
ETS1,False,True,True,False
EVI2A,False,True,True,True
EYA4,False,True,False,False
F13A1,True,False,False,False
FABP6,True,False,True,False
FAM118A,False,True,False,False
FAM13A,False,True,False,False
FAM189A2,False,False,True,False
FAM221A,True,False,False,False
FAM8A1,False,True,False,False
FANCI,False,True,True,False
FAS,False,False,True,False
FBLN1,False,False,True,False
FBLN5,True,False,False,False
FH,True,False,False,False
FHIT,True,False,False,False
FHL1,True,True,True,False
FLRT3,True,False,True,False
FNIP2,True,False,True,False
FOS,False,True,False,True
FOSL2,False,True,False,False
FOXP1,True,False,False,True
FRZB,True,False,False,False
FSTL1,False,True,False,False
FUCA1,False,True,False,False
FURIN,False,True,True,True
FZD1,True,False,False,False
FZD5,True,True,True,True
FZD7,False,False,False,True
FZD8,True,False,False,False
GAD2,False,False,True,False
GADD45B,False,True,False,True
GAPDH,False,True,False,False
GATM,True,False,True,False
GBP1,False,True,True,True
GBP2,False,True,True,True
GCFC2,True,False,False,False
GCLM,True,False,False,False
GDE1,False,True,False,False
GLRX,False,True,False,False
GLRX2,False,False,True,False
GLRX3,False,False,True,False
GLS,True,False,False,False
GLUL,True,False,False,False
GOT1,True,True,False,False
GPNMB,True,False,True,True
GPRC5C,False,True,False,False
GPT2,False,True,True,False
GPX3,False,True,True,False
GRAMD2B,True,False,False,False
GSTK1,False,True,False,False
GSTM1,False,True,False,False
GSTM3,False,True,False,False
GSTO1,False,False,True,False
H2AFX,False,False,True,False
HDAC1,False,False,True,False
HEMK1,True,False,False,False
HERC5,True,False,True,False
HERC6,True,False,True,False
HK2,False,True,True,False
HLA-DPA1,False,True,True,True
HLA-DPB1,False,True,True,False
HLA-DRA,False,True,False,True
HLA-E,False,True,True,True
HLA-F,False,True,True,True
HMX1,False,False,True,False
HRK,False,False,True,False
HSBP1,True,False,False,False
HSP90AA1,True,False,False,False
HSP90B1,False,True,False,False
ICAM2,False,True,True,True
IER2,False,True,False,False
IER3,True,True,False,True
IFI16,False,True,True,True
IFI27,False,True,True,True
IFI35,False,True,False,True
IFI44,False,True,True,False
IFI44L,True,True,True,True
IFI6,False,True,False,True
IFITM1,True,True,True,True
IGFBP2,True,True,True,False
IGFBP3,False,True,True,False
IGFBP7,True,False,True,False
IL10RA,False,True,False,False
IL11RA,True,False,False,False
IL16,False,False,False,True
IL6R,False,False,True,False
IMPAD1,False,True,True,False
INSM1,False,False,True,False
IPCEF1,False,True,False,False
IRF1,False,True,True,True
IRF2,False,True,True,False
IRF4,False,True,True,True
IRF7,True,True,True,True
IRF8,False,True,False,True
IRF9,False,True,False,True
ITGA8,False,False,True,False
ITGB2,False,True,True,True
ITIH5,False,True,False,False
ITM2A,True,True,True,False
ITM2C,False,True,False,False
ITPKB,False,True,False,False
ITPR1,False,False,True,False
JUNB,False,True,True,True
KANK4,False,False,True,False
KDM5B,False,False,True,False
KREMEN1,False,True,False,False
LAMC3,False,False,True,False
LAMP1,False,False,True,False
LAP3,False,True,True,True
LAPTM4B,False,True,False,False
LAPTM5,False,True,True,True
LGALS8,True,True,True,False
LIFR,False,True,False,False
LPAR1,True,False,True,False
LPAR6,False,True,True,False
LRFN5,False,False,True,False
LRP1,True,True,True,False
LRP4,True,False,True,False
LRP6,False,False,True,False
LRRK2,False,True,False,False
LTB,False,True,True,True
LY6E,False,True,True,False
LYPD1,False,True,False,False
MAF,False,True,True,False
MAGED1,True,True,False,False
MAGEH1,False,True,False,False
MANSC1,True,False,True,False
MAOA,True,True,False,False
MAOB,False,True,True,False
MASP1,True,False,True,False
MCL1,False,True,False,True
MCM3,False,True,True,False
MDM2,False,True,False,False
MFSD4A,False,True,False,False
MKNK2,True,False,True,False
MMP2,False,True,True,False
MMP9,True,False,False,False
MSRB2,True,False,False,False
MT-ND2,True,True,False,False
MT2A,False,True,True,True
MX1,False,True,True,True
MX2,False,True,True,False
MYD88,False,True,True,False
MYH9,False,True,True,False
NAMPT,False,True,False,False
NAP1L5,True,True,True,False
NCEH1,True,False,False,False
NCOA3,True,False,True,False
NCOA7,True,False,False,False
NCSTN,False,True,False,False
NDFIP2,True,False,False,False
NDN,True,True,False,False
NEDD4L,False,False,True,False
NEUROD1,True,False,False,False
NEUROD6,True,False,True,False
NFATC1,False,True,False,False
NFE2L2,True,True,True,False
NFKB1,False,True,True,False
NME3,True,False,True,False
NMI,False,True,True,False
NOL3,False,False,True,False
NOMO3,True,False,True,False
NOTCH1,True,True,True,False
NPPA,True,False,True,False
NPY,True,False,False,False
NR3C1,False,True,True,False
NRG1,False,False,True,False
NRG3,False,False,True,False
NRSN1,False,True,False,False
NSG2,False,True,False,False
NT5DC2,False,True,False,False
OAS1,False,True,True,True
OAS2,False,True,True,True
OAS3,False,True,True,True
OASL,False,True,True,False
OLFM2,False,True,True,False
OLFM3,True,False,True,False
OPTN,True,False,False,False
ORMDL3,False,True,True,False
P2RX5,False,False,True,False
P2RY1,False,False,True,False
P4HB,False,True,True,False
PARP10,False,True,True,True
PARP12,False,True,True,True
PARP9,False,False,True,True
PCNA,False,True,False,False
PDIA4,False,False,True,False
PDK1,False,True,False,False
PDK3,True,False,True,False
PDK4,False,True,False,False
PDP1,False,False,True,False
PDXDC1,False,True,False,False
PEA15,True,True,False,False
PER1,False,True,True,False
PHF19,False,True,True,False
PJA1,True,True,True,False
PLIN2,True,True,True,True
PLSCR1,False,True,True,False
POLA1,True,False,True,False
POLQ,False,False,True,False
PPA1,True,False,False,False
PPARGC1A,True,False,False,False
PPIF,True,False,False,False
PPP1CA,False,True,True,False
PPP4R4,True,False,True,False
PRDX2,True,False,True,False
PRDX4,True,False,True,False
PRELID3B,True,False,False,False
PRF1,False,True,True,True
PRKAB2,False,True,False,False
PROS1,False,True,False,False
PROX1,False,False,True,False
PRPS2,True,False,True,False
PRR5L,True,False,False,False
PSAT1,False,True,False,False
PSMB9,False,True,True,True
PTCH1,False,True,False,True
PTGES,True,False,False,False
PTGIS,False,False,True,False
PTP4A2,False,False,True,False
PTPA,False,True,False,False
QPRT,True,False,True,False
RB1,False,False,True,False
RCAN1,True,False,True,False
RIPK1,False,True,False,False
RMDN1,True,False,True,False
RPRM,True,False,True,False
RRAGD,True,False,False,False
RSAD2,False,True,True,False
RTN1,False,True,False,False
RTN4R,False,True,False,False
RYR3,True,False,False,False
S100A10,False,True,False,False
S100A4,False,True,True,False
S1PR1,True,True,False,False
SARAF,True,True,False,False
SCARB1,False,True,False,False
SCGN,False,False,False,True
SELPLG,False,True,True,False
SEMA3B,False,False,True,False
SEMA5B,True,False,True,False
SEPHS2,False,True,False,True
SERPINB9,False,True,True,False
SERPING1,False,True,True,True
SEZ6L,False,False,False,True
SFRP4,False,False,True,False
SGCD,False,True,False,False
SGK1,True,True,False,False
SH3BGRL3,False,True,False,False
SH3TC1,False,False,True,False
SHD,True,False,True,False
SIX2,True,False,True,False
SLC25A23,False,True,False,False
SLC30A2,False,True,False,False
SLC30A8,True,False,True,False
SLC7A11,False,True,False,False
SLC7A8,False,True,False,False
SMCR8,False,True,False,False
SMPD1,True,False,False,False
SMYD2,False,False,True,False
SOD2,False,False,True,False
SORT1,False,False,True,False
SOX6,True,False,True,False
SP110,False,True,True,False
SPATA5L1,True,False,False,False
SPHKAP,False,False,True,False
SPP1,False,True,True,False
SPRY2,True,False,False,False
SQSTM1,True,False,True,False
SRGN,False,True,True,True
SSBP2,False,False,True,False
ST6GAL1,False,False,True,False
ST8SIA1,False,False,True,False
ST8SIA3,True,False,True,False
STAT1,False,True,False,True
STK32C,False,True,False,False
STRADB,True,False,False,False
SULT1A1,False,False,True,False
SYNGR2,False,True,False,False
TAGLN2,True,False,True,False
TAP1,False,True,True,True
TCF19,True,False,True,False
TCF3,True,False,False,False
TCF7,False,False,True,False
TCF7L1,True,False,False,False
TCF7L2,False,False,True,False
TESPA1,False,True,True,True
TF,True,False,True,False
TFAP2A,True,False,True,False
TGFB1,False,True,True,False
THEMIS2,False,True,True,False
TLE1,True,True,True,False
TLR4,False,False,True,False
TMCC3,True,False,True,False
TMEM17,True,False,False,False
TMEM173,False,True,True,False
TMX4,True,False,True,False
TNF,False,True,True,False
TNFAIP3,False,True,True,False
TNFRSF14,False,True,True,True
TNFRSF18,False,True,True,False
TNFRSF1A,False,True,False,False
TNFRSF1B,False,True,True,True
TNFRSF25,False,True,False,False
TNFRSF9,False,True,True,True
TNFSF10,False,True,True,False
TP53,True,True,False,False
TP53I3,False,True,False,False
TPP1,False,False,True,False
TRADD,False,True,False,False
TRAF1,False,True,True,False
TRAF5,False,True,True,False
TRAPPC9,True,False,False,False
TRIM21,False,True,True,True
TRIM22,False,True,True,True
TRIM25,True,True,True,False
TRIM4,True,False,True,False
TRIM61,True,False,True,False
TRPC3,False,False,True,False
TRPV2,False,True,True,False
TSC22D3,True,False,True,False
TSC22D4,False,True,False,False
TUB,False,True,True,False
TXN,True,False,True,False
TXNIP,True,False,True,False
TYMP,False,True,False,False
TYW3,True,False,True,False
UBA1,True,False,True,False
UBC,True,True,False,False
UBE2A,True,False,True,False
UBE2L6,False,True,True,True
UBXN10,True,False,False,False
UCP2,True,False,True,False
UNC5D,True,False,True,False
UVSSA,True,False,True,False
VDAC1,False,True,False,False
VEGFA,False,False,True,False
VGF,True,True,True,True
VKORC1,False,False,True,False
WNK3,False,False,True,False
WNT3,True,False,True,False
WNT5A,True,True,True,True
WNT7B,True,False,True,False
XAF1,False,True,True,True
XBP1,False,True,False,False
XIAP,True,False,True,False
ZFP36,False,True,False,False
ZNF212,True,False,False,False
ZNF397,False,False,True,False
ZNF483,False,True,True,False
ZNF521,False,False,True,False
ZNF785,True,False,False,False
