,PD wo Tc vs. Ctrl wo Tc,PD with Tc vs. PD wo Tc,PD with Tc vs. Ctrl with Tc,Ctrl with Tc vs. Ctrl wo Tc
CD276,False,False,True,False
CD300A,False,True,True,False
CD37,False,True,True,True
CD3E,False,True,True,True
CD4,False,True,True,False
CD44,True,True,False,True
CD47,True,False,False,False
CD48,False,True,True,True
CD53,False,True,True,True
CD6,False,True,True,True
CD74,False,True,True,True
CD82,True,False,True,False
CD83,True,False,False,False
CD84,False,True,True,True
CD8A,False,True,True,True
CD9,False,False,True,False
CD93,True,True,False,False
CDC42SE1,False,True,False,False
CDH12,True,False,True,False
CDH13,False,True,False,False
CDH18,True,True,False,False
CDH19,False,True,False,False
CDH4,True,True,True,False
CDH6,False,False,True,False
CDH8,True,False,True,False
CDON,False,True,True,False
CER1,True,False,False,False
CFB,False,False,False,True
CHL1,False,True,False,False
CHRD,True,False,True,False
CHRDL1,False,False,True,False
CHRNB1,False,False,True,False
CHST1,False,True,True,False
CISH,False,True,False,True
CLCN5,True,False,True,False
CLDN5,True,True,True,False
CLEC2B,False,True,True,True
CLIC1,False,True,True,False
CLSTN1,False,True,True,False
CLU,False,True,False,False
CMPK2,False,False,True,False
CMTM4,False,True,False,False
CMTM7,False,False,True,False
CNTFR,True,False,True,False
CNTN1,True,False,True,False
CNTN2,True,True,True,False
CNTN3,False,True,False,True
CNTN4,True,False,True,False
CNTN6,True,False,False,False
CNTNAP1,False,True,False,False
CNTNAP4,True,False,True,False
COL11A1,True,True,True,False
COL11A2,False,False,True,False
COL12A1,False,True,True,False
COL16A1,False,False,True,False
COL1A1,True,True,True,False
COL21A1,True,False,True,False
COL4A6,True,False,False,False
COL5A1,False,True,False,False
COL5A3,False,True,False,False
COL6A2,False,False,True,False
COL9A3,False,False,True,False
COLGALT2,True,False,True,False
CORO1A,False,True,True,False
CPXM2,False,True,False,False
CRB1,True,False,True,False
CRIM1,False,True,False,False
CRISPLD1,True,True,False,False
CRLF1,False,True,True,False
CRTAM,False,True,True,False
CRYM,False,False,True,False
CSF1,False,True,False,True
CSK,False,True,False,False
CSMD1,True,False,True,True
CSMD2,True,True,True,False
CSMD3,True,True,True,False
CSRP2,False,False,True,False
CTGF,True,False,True,True
CTNNA2,True,True,True,False
CTSB,True,False,True,False
CTSC,True,True,False,True
CTSK,False,False,True,False
CTSO,False,True,False,False
CTSS,False,True,True,True
CTSZ,False,True,True,False
CUZD1,True,False,False,False
CXADR,False,False,True,False
CXCL10,False,True,True,True
CXCL12,False,True,True,False
CXCL14,True,False,True,False
CXCL8,False,True,True,False
CXCL9,False,True,True,True
CXCR4,False,True,True,False
CXorf56,True,False,True,False
CYBA,False,True,False,False
CYSTM1,True,False,True,False
CYTH4,False,True,True,True
DAB1,False,False,True,False
DCBLD2,False,True,True,False
DCC,False,False,True,False
DCLK1,False,True,False,False
DCN,False,True,False,False
DCX,False,True,False,False
DDIT4L,False,True,False,False
DDR2,True,False,False,False
DGKA,False,True,False,False
DIAPH1,False,True,False,False
DKK3,False,True,False,False
DLG1,True,False,True,False
DLK1,False,True,False,False
DLL1,False,False,True,False
DMD,True,False,True,False
DNER,False,True,False,False
DNM1,True,True,True,False
DNM3,True,False,True,False
DOCK11,True,False,True,False
DOCK8,False,True,True,True
DOK3,True,False,False,False
DOK6,False,True,False,False
DRP2,False,False,True,False
DSCAM,True,False,True,False
DSCAML1,False,False,True,False
DSTN,True,True,False,False
DYNLT3,False,False,True,False
ECE1,False,True,True,False
ECM2,True,False,True,False
EDIL3,True,True,True,False
EDN1,True,False,False,False
EDNRB,False,True,False,False
EFHD1,False,True,False,False
EFNA1,False,True,False,True
EFNA5,False,False,True,False
EFNB3,False,True,False,True
EFS,True,False,False,False
ELF1,False,True,True,False
ELK3,False,True,False,False
EMB,True,True,True,False
EMILIN2,False,True,False,False
EMP3,False,False,True,False
ENPP2,False,True,False,False
ENTPD1,False,True,True,False
EOMES,True,False,False,False
EPHA5,True,False,True,False
EPHA8,True,False,False,False
EPHB6,True,False,True,False
ERBB2,True,False,True,False
ERBB3,False,True,False,False
ERBB4,True,False,True,False
ERMN,False,False,True,False
EVI2A,False,True,True,True
EVI2B,False,True,True,True
EXTL3,False,True,False,False
F13A1,True,False,False,False
F3,False,True,False,True
F5,True,True,True,False
FABP6,True,False,True,False
FAM107A,False,True,False,False
FAM171A1,True,True,False,False
FAM78A,False,True,True,False
FAS,False,False,True,False
FASLG,False,True,True,False
FAT3,False,True,False,False
FBLN1,False,False,True,False
FBLN5,True,True,False,False
FBN1,False,True,True,False
FGD3,True,True,True,False
FGF1,True,True,False,False
FGF11,True,False,False,False
FGF12,False,True,True,False
FGF13,True,True,True,False
FGF14,True,False,True,False
FGF9,True,False,True,False
FGFBP3,True,True,False,False
FGFR1,True,False,False,False
FGFR2,True,True,False,False
FGFR3,True,True,False,True
FHDC1,False,False,False,True
FILIP1L,False,True,True,False
FLNC,False,True,False,False
FLRT3,True,False,True,False
FLT1,True,False,False,False
FOLH1,True,False,False,False
FRAS1,True,False,True,False
FRZB,True,False,False,False
FST,True,False,False,False
FSTL1,False,True,False,False
FSTL4,True,False,True,False
FSTL5,True,False,True,False
FURIN,False,True,True,True
FXYD5,False,True,True,True
FYB1,False,True,True,True
FZD1,True,False,False,False
FZD5,True,True,True,True
FZD7,False,False,False,True
FZD8,True,False,False,False
GAS6,False,False,True,False
GAS7,True,True,True,False
GBP1,False,True,True,True
GDF11,False,True,False,False
GFAP,False,True,False,False
GFRA2,True,False,False,False
GIMAP4,False,True,True,True
GJA1,False,False,True,False
GLI2,True,True,False,False
GLIPR1,False,True,True,False
GNA15,False,True,True,True
GNAI2,False,True,False,False
GNAZ,False,True,False,False
GPATCH4,False,True,False,False
GPC4,True,False,True,False
GPM6A,False,True,False,False
GPM6B,True,False,False,False
GPNMB,True,False,True,True
GPR12,False,True,True,False
GPR17,False,True,False,False
GPRC5B,False,True,False,True
GPSM3,False,True,True,False
GRB10,False,False,False,True
GREM1,True,False,False,False
GREM2,True,False,True,False
GRIN2A,False,True,False,False
GRK2,False,True,False,False
GUK1,False,False,True,False
GULP1,True,False,True,False
HABP2,False,True,True,False
HACD4,False,True,False,False
HAP1,True,True,True,True
HAPLN3,False,True,False,True
HASPIN,False,False,True,False
HAVCR2,False,True,True,False
HCLS1,False,True,True,True
HECW1,False,False,True,False
HEG1,False,True,True,False
HLA-A,False,True,False,True
HLA-B,False,True,False,True
HLA-C,False,True,False,True
HLA-DMA,False,True,True,True
HLA-DMB,False,True,False,True
HLA-DOA,False,True,False,True
HLA-DPA1,False,True,True,True
HLA-DPB1,False,True,True,False
HLA-DQB1,False,True,True,True
HLA-DRA,False,True,False,True
HLA-E,False,True,True,True
HLA-F,False,True,True,True
HPX,True,False,False,False
HS6ST2,True,False,True,False
HSBP1,True,False,False,False
HSPA12B,False,False,True,False
HTRA1,False,True,False,False
ICAM1,False,True,True,True
ICAM2,False,True,True,True
ICAM5,False,False,True,False
ID4,True,False,True,True
IDS,True,True,False,False
IFI27,False,True,True,True
IFI35,False,True,False,True
IFI44,False,True,True,False
IFI44L,True,True,True,True
IFI6,False,True,False,True
IFIT3,False,True,True,True
IFITM1,True,True,True,True
IFITM2,True,True,True,True
IFITM3,False,True,False,False
IFNAR1,True,False,False,False
IGDCC3,True,False,True,False
IGDCC4,True,False,False,False
IGF1,True,False,False,False
IGFBP2,True,True,True,False
IGFBP3,False,True,True,False
IGFBP5,False,True,False,False
IGFBP7,True,False,True,False
IGLON5,False,True,False,False
IGSF1,True,False,True,False
IGSF3,False,False,True,False
IKZF1,False,True,True,False
IL10RA,False,True,True,False
IL11RA,True,False,False,False
IL13RA1,True,True,True,True
IL16,True,True,True,True
IL18BP,False,True,False,False
IL2RA,False,True,True,True
IL2RB,False,True,True,True
IL2RG,False,True,True,True
IL6R,False,False,True,False
IL6ST,True,True,True,False
IL7R,False,True,True,True
IMPAD1,False,True,True,False
INTS6L,True,False,True,False
IRAK4,False,True,True,False
IRF1,False,True,True,True
IRF4,False,True,True,True
IRF7,True,True,True,True
IRF8,False,True,False,True
IRF9,False,True,False,True
IRS2,True,False,False,False
ISLR2,True,False,True,False
ITGA10,True,False,False,False
ITGA2,True,False,True,False
ITGA3,True,False,True,False
ITGA5,False,True,False,False
ITGA6,True,True,True,False
ITGA7,True,False,False,False
ITGA8,False,False,True,False
ITGB1,False,False,True,False
ITGB2,False,True,True,True
ITGB4,True,True,False,False
ITGB8,False,True,False,False
ITIH5,False,True,False,False
ITK,False,True,True,True
ITM2A,True,True,True,False
ITPKB,False,True,False,False
JAG2,True,False,False,False
JAK3,False,True,True,False
JAM2,False,True,False,False
JAM3,False,True,False,False
KIR2DL4,False,True,False,False
KIRREL3,False,False,True,False
KIT,True,False,True,False
KLF15,True,False,False,False
LAIR1,False,True,True,True
LAMA4,False,True,True,False
LAMA5,True,False,False,False
LAMB1,True,False,True,False
LAMC1,False,True,False,False
LAMP1,False,False,True,False
LAP3,False,True,True,True
LAPTM4B,False,True,False,False
LAPTM5,False,True,True,True
LAT2,False,False,True,False
LBH,False,False,True,False
LCP1,False,True,True,True
LGALS1,False,True,False,False
LGALS3,False,True,False,True
LGALS3BP,False,True,False,False
LGALS8,True,True,True,False
LGI1,True,False,True,False
LHFPL2,True,False,False,False
LHFPL3,True,False,False,False
LHFPL6,True,True,False,False
LIMS1,False,False,True,False
LIN7A,True,True,False,False
LINGO2,True,False,True,False
LNX1,True,False,True,False
LPAR1,True,False,True,False
LPL,True,False,True,False
LPXN,False,True,True,False
LRFN5,True,False,True,False
LRIG1,False,True,False,False
LRMP,False,True,True,False
LRP1,True,True,True,False
LRP1B,False,True,False,False
LRP2,True,True,True,False
LRP6,False,False,True,False
LRPAP1,False,True,False,False
LRRC17,True,False,True,False
LRRC3B,True,False,True,False
LRRC4C,True,False,True,False
LRRC7,True,True,True,True
LRRC8C,False,True,True,False
LRRN2,False,True,False,True
LTB,False,True,True,True
LTBP3,True,False,False,False
LTBP4,True,False,False,False
LY6E,False,True,True,False
LYN,False,False,True,False
MAN1C1,False,True,True,False
MAP4K1,False,True,True,True
MAP4K4,False,True,False,False
MASP1,True,False,True,False
MATK,True,False,True,False
MBP,True,True,True,False
MCAM,True,False,False,False
MEGF11,True,False,False,False
MET,True,False,True,False
MFAP3,False,False,True,False
MFNG,False,True,True,False
MFSD4A,False,True,False,False
MLKL,False,True,True,False
MLPH,True,False,True,False
MLYCD,True,False,False,False
MMP14,False,True,False,False
MMP17,False,False,True,False
MMP2,False,True,True,False
MMP25,False,True,False,False
MMP9,True,False,False,False
MOXD1,False,False,True,False
MR1,False,True,True,False
MSN,False,True,False,False
MTSS1L,False,True,False,False
MX2,False,True,True,False
MXRA7,True,False,True,False
MYD88,False,True,True,False
MYH9,False,True,False,False
MYLK,True,False,True,False
MYO16,True,False,False,False
MYO1F,False,True,True,True
MYO7A,False,False,True,False
MYOF,False,False,True,False
MYOM2,True,False,True,False
NCAM1,False,True,False,False
NCAM2,True,False,True,False
NCAN,True,False,True,False
NCEH1,True,False,False,False
NCK2,True,False,False,False
NCKAP1L,False,True,True,True
NDN,True,True,False,False
NDNF,True,False,True,True
NDP,True,False,True,False
NECTIN3,False,True,False,False
NEDD9,True,False,False,False
NEFL,False,False,False,True
NEGR1,False,True,True,False
NELL1,True,False,False,False
NEO1,False,True,False,False
NEUROD2,True,False,True,True
NLGN1,False,True,False,False
NLGN4Y,True,False,False,False
NNMT,False,True,True,True
NOG,True,False,True,False
NOTCH1,True,True,True,False
NOTCH2,True,False,False,False
NPNT,True,False,True,False
NPTX1,True,False,True,True
NRCAM,True,False,True,False
NRG1,False,False,True,False
NRG2,False,False,True,False
NRG3,False,False,True,False
NRN1,True,False,True,False
NRP1,True,False,True,False
NRP2,True,False,True,False
NRXN1,False,True,True,False
NRXN2,False,True,True,False
NRXN3,True,False,True,False
NTM,False,True,False,False
NTN1,False,True,True,True
NTNG1,True,False,True,True
NTRK2,False,True,False,False
NTRK3,True,True,True,False
OAS1,False,True,True,True
OAS2,False,True,True,True
OAS3,False,True,True,False
OCRL,True,False,False,False
OGN,False,True,True,False
OMG,True,False,False,False
OPCML,True,True,False,False
OPHN1,False,False,True,False
P2RY1,False,False,True,False
PAMR1,True,False,False,False
PARP4,False,True,False,False
PATJ,True,False,False,False
PAX7,True,True,True,False
PCDH10,True,True,True,False
PCDH17,True,True,False,False
PCDH18,True,True,False,False
PCDH8,True,True,False,False
PCDH9,True,False,True,False
PCDHB14,True,False,False,False
PCDHGA3,True,False,True,False
PCDHGB5,False,False,True,False
PCLO,False,False,True,False
PCSK5,True,True,False,False
PDE10A,False,True,False,False
PDE1A,True,True,False,False
PDE4D,False,False,True,False
PDE7A,False,True,True,False
PDGFC,False,True,True,False
PDGFRA,True,False,True,False
PDGFRB,False,True,True,False
PDLIM3,True,False,False,False
PDPN,False,True,True,True
PDZD4,False,True,True,False
PDZRN3,False,False,True,False
PEAK1,True,False,False,False
PECAM1,False,True,True,True
PEG10,True,True,True,False
PHYHIP,False,True,False,False
PIK3CD,True,True,True,False
PIK3CG,False,True,True,True
PIK3R1,False,False,True,False
PIK3R5,False,True,True,False
PITPNM3,False,False,False,True
PLAC8,False,True,True,True
PLCD4,False,False,True,False
PLCE1,True,False,True,False
PLEK,False,True,False,False
PLEKHA2,False,True,True,False
PLEKHB1,True,False,True,False
PLEKHF2,True,False,False,False
PLP2,False,True,True,False
PLPPR4,True,True,False,False
PLSCR1,False,True,True,False
PLXNA1,True,False,False,False
PLXNA2,True,False,True,False
PLXNB3,False,False,True,False
PMP22,False,True,True,False
PON2,True,True,False,False
POU4F2,True,False,True,False
PPFIA3,False,True,True,False
PPM1L,False,True,False,False
PRDM1,False,True,True,False
PRELP,False,True,False,True
PRF1,False,True,True,True
PRIMA1,False,False,True,False
PRKCB,False,False,True,False
PRKCD,False,False,True,False
PRKCH,True,True,True,True
PRKCQ,False,True,True,False
PRKCZ,True,False,False,False
PRNP,True,False,True,False
PROS1,False,True,False,False
PROX1,False,False,True,False
PRPH2,False,False,True,False
PSD3,False,False,True,False
PSMB9,False,True,True,True
PTCD2,False,False,True,False
PTCH1,False,True,False,True
PTGER3,True,False,False,False
PTGES,True,False,False,False
PTGIS,False,False,True,False
PTH1R,False,False,True,False
PTK2,False,True,False,False
PTK2B,False,True,False,True
PTN,True,True,True,False
PTPA,False,True,False,False
PTPN11,True,False,False,False
PTPN6,False,True,True,True
PTPRB,True,False,True,False
PTPRC,False,True,True,True
PTPRD,True,False,False,False
PTPRE,True,False,True,False
PTPRF,False,False,True,False
PTPRM,False,True,True,False
PTPRN,True,True,True,False
PTPRT,True,True,True,False
PTPRU,False,True,False,False
RAB31,True,False,True,False
RAC2,False,True,True,True
RANBP9,True,False,False,False
RARRES3,False,True,True,False
RASAL3,False,True,True,False
RBP1,False,False,True,False
RELN,True,True,True,False
RET,False,True,False,True
RFTN1,True,True,True,True
RGMA,False,True,False,False
RGR,True,False,False,False
RGS1,False,True,True,True
RGS19,False,True,False,False
RHOG,False,True,True,False
RHOQ,False,False,True,False
RHOU,False,True,False,False
RIPOR2,False,False,True,False
RND1,True,False,True,False
ROBO1,True,False,True,False
ROBO2,True,True,False,False
ROBO3,True,False,True,False
RSAD2,False,True,True,False
RTN4R,False,True,False,False
RYR1,False,True,False,False
RYR3,True,False,True,True
S100A11,False,True,False,False
S100A4,False,False,True,False
S1PR1,True,True,False,False
S1PR3,False,True,True,False
S1PR4,False,True,True,True
SASH3,False,True,True,True
SCUBE3,False,False,False,True
SDCBP,True,False,False,False
SELL,True,True,True,True
SELPLG,False,True,True,False
SEMA3B,False,False,True,False
SEMA3F,True,False,True,False
SEMA3G,False,True,False,False
SEMA4A,True,False,True,False
SEMA4D,True,True,True,False
SEMA4F,False,False,True,False
SEMA4G,False,True,False,False
SEMA5A,False,True,False,False
SEMA5B,True,False,True,False
SEMA6B,True,False,True,False
SEMA6D,True,False,False,False
SEPT6,True,False,False,False
SERPINB6,False,False,True,False
SERPINF1,False,True,True,False
SERPING1,False,True,True,True
SEZ6L,False,True,False,True
SFRP4,True,False,True,False
SGCD,False,True,True,False
SH2D2A,False,True,True,True
SH2D3C,False,True,False,False
SH3GL3,False,True,True,False
SH3KBP1,True,False,True,False
SHC2,True,False,True,False
SHC3,True,False,True,False
SHD,True,False,True,False
SHROOM2,True,False,True,False
SHTN1,False,True,False,False
SIGIRR,False,True,True,True
SIPA1L1,False,True,False,False
SKAP1,False,True,True,True
SLA,True,True,False,False
SLAMF1,False,True,True,True
SLAMF6,False,True,True,True
SLAMF9,True,False,False,False
SLC12A2,False,True,False,False
SLC12A7,True,False,True,False
SLC16A2,False,False,True,False
SLC1A2,False,False,True,False
SLC1A4,True,False,True,False
SLC24A4,True,False,True,False
SLC30A2,False,True,False,False
SLC30A3,True,False,False,False
SLC32A1,True,False,True,False
SLC35A2,True,False,True,False
SLC36A1,True,False,False,False
SLC39A8,True,True,True,False
SLC6A1,False,False,False,True
SLC6A15,True,False,False,False
SLC6A3,True,False,False,False
SLC7A11,False,True,False,False
SLC7A8,False,True,False,False
SLC9A3R1,False,True,False,False
SLCO2A1,False,False,False,True
SLIT2,False,True,False,False
SLIT3,False,True,True,False
SLITRK1,False,False,True,False
SLITRK2,True,False,True,False
SLITRK3,True,False,False,False
SLITRK4,True,False,True,False
SLITRK5,True,False,True,False
SLITRK6,True,False,False,True
SMOC1,True,False,False,True
SMPD1,True,False,False,False
SNX20,False,True,True,True
SOCS2,True,True,False,False
SOCS3,False,True,False,True
SORBS1,False,False,True,False
SORCS1,True,False,True,False
SORL1,False,False,True,False
SOSTDC1,False,False,True,False
SP110,False,True,True,False
SPN,False,True,True,True
SPOCK1,True,True,True,False
SPON1,False,True,False,False
SPP1,False,True,True,False
SPRY2,True,False,False,False
SPTBN4,False,True,True,False
SRGAP2,False,False,True,False
SRGAP2C,False,False,True,False
SRGN,False,True,True,True
ST18,False,False,True,False
ST3GAL1,True,True,False,False
ST3GAL6,True,False,True,False
ST5,True,False,False,False
ST8SIA3,True,False,False,False
STARD8,True,False,False,False
STAT1,False,True,False,True
STAT3,False,True,False,True
STAT4,False,True,True,True
STAT5A,False,True,True,False
STAT6,False,True,False,False
STMN2,True,True,False,False
STRA6,False,False,True,False
SULF1,True,False,True,False
SULT1B1,False,True,True,False
SUSD4,False,False,True,False
TAGAP,False,True,True,False
TAGLN,True,False,False,False
TAP1,False,True,True,True
TAP2,False,True,False,True
TAPBP,False,True,True,True
TBR1,True,False,False,False
TBX21,False,True,True,False
TENM1,True,False,True,False
TF,True,False,True,False
TFAP2E,False,False,True,False
TGFB1,False,True,True,False
TGFB3,False,False,True,False
TGFBI,False,True,False,False
TGFBR1,True,False,True,False
THBS4,True,False,True,False
THEMIS2,False,True,True,False
THSD4,False,True,False,False
TIMP2,True,False,True,False
TIMP3,False,True,False,False
TIMP4,False,True,False,True
TLN1,False,True,False,False
TLR4,False,False,True,False
TM4SF18,True,False,False,False
TMEM158,True,False,True,True
TMEM17,True,False,False,False
TMEM204,False,True,True,False
TMEM47,True,True,True,False
TMEM9B,True,False,False,False
TMIGD2,False,True,True,False
TNF,False,True,True,False
TNFAIP6,True,False,True,False
TNFAIP8L2,False,True,True,False
TNFRSF14,False,True,True,True
TNFRSF1A,False,True,False,False
TNFRSF1B,False,True,True,True
TNFSF10,False,True,True,False
TNR,False,True,True,False
TNS2,True,False,True,False
TNS3,False,True,False,False
TNXB,False,True,True,False
TPM1,False,False,True,False
TPPP,False,True,True,False
TPST2,True,False,True,False
TRIM22,False,True,True,True
TRIM25,True,True,True,False
TRIM36,False,False,True,False
TRIM48,False,False,True,False
TRIOBP,True,False,False,False
TRIP6,False,True,False,False
TSPAN2,False,True,False,False
TSPAN3,False,True,False,False
TSPAN7,True,True,True,False
TTN,False,False,True,False
TTR,True,False,False,False
TYMP,False,True,False,False
TYW3,True,False,True,False
UNC5A,True,False,False,False
UNC5C,False,True,False,False
UTRN,False,False,True,False
VAMP8,False,True,True,False
VASP,False,True,False,False
VAV1,False,True,True,True
VAV3,True,False,True,False
VCAM1,False,True,True,False
VCAN,False,True,True,False
VEGFA,True,True,True,False
VKORC1,False,False,True,False
VLDLR,False,False,True,False
VSIR,False,True,True,False
VWA1,False,True,False,False
WAS,False,True,True,False
WASF1,False,False,True,False
WFS1,True,False,True,False
WHRN,False,False,True,False
WIPF1,False,True,True,False
WNT10B,True,False,True,False
WNT3,True,False,True,False
WNT5A,True,True,True,True
WNT7B,True,False,True,False
XAF1,False,False,True,True
ZC3H12C,True,False,False,False
ZNF536,True,False,True,False
ZNF609,False,False,True,False
