,PD wo Tc vs. Ctrl wo Tc,PD with Tc vs. PD wo Tc,PD with Tc vs. Ctrl with Tc,Ctrl with Tc vs. Ctrl wo Tc
GIMAP8,False,False,True,False
GPR12,False,True,True,False
GPR17,False,True,False,False
GPR26,False,True,False,False
GPR89B,True,False,False,False
GPX3,False,True,False,False
GREM2,True,False,False,False
GSTM1,False,True,False,False
GUCY1B1,True,False,False,False
HAPLN3,False,True,False,False
HAVCR2,False,True,True,False
HCLS1,False,True,True,True
HERC5,True,False,False,False
HERC6,True,False,False,False
HLA-A,False,True,False,True
HLA-B,False,True,False,True
HLA-C,False,False,False,True
HLA-DMA,False,True,False,True
HLA-DMB,False,True,False,True
HLA-DOA,False,True,False,True
HLA-DPA1,False,True,False,True
HLA-DPB1,False,True,True,False
HLA-DQB1,False,True,True,False
HLA-DRA,False,True,False,True
HLA-E,False,True,True,True
HLA-F,False,True,True,True
HPX,True,False,False,False
HTR2C,True,False,False,False
ICAM1,False,True,True,True
ICAM2,False,True,False,False
IFI27,False,True,True,True
IFI35,False,True,False,True
IFI44,False,True,True,False
IFI44L,False,True,True,True
IFI6,False,True,False,True
IFIT2,False,False,True,True
IFIT3,False,True,True,True
IFITM1,True,True,True,True
IFITM2,True,True,True,True
IFITM3,False,True,False,False
IGDCC4,True,False,False,False
IGF1,True,False,False,False
IGFBP2,True,True,True,False
IGFBP3,False,True,True,False
IGFBP5,False,True,False,False
IGFBP7,True,False,True,False
IGSF3,False,False,True,False
IKZF1,False,True,True,False
IL10RA,False,True,True,False
IL13RA1,True,True,True,True
IL16,True,True,True,False
IL18BP,False,True,False,False
IL2RA,False,True,True,True
IL2RB,False,True,True,True
IL2RG,False,True,True,True
IL6ST,True,True,True,False
IL7R,False,True,True,True
IRAK4,False,True,False,False
IRF1,False,True,True,True
IRF4,False,True,True,True
IRF7,True,True,False,False
IRF8,False,True,False,True
IRF9,False,True,False,True
ISG15,False,True,True,True
ITGA10,True,False,False,False
ITGA2,True,False,True,False
ITGA5,False,True,False,False
ITGB2,False,True,True,True
ITK,False,True,True,True
ITM2A,False,True,True,False
JAK3,False,True,True,False
KIT,True,False,True,False
LAIR1,False,True,True,False
LAP3,False,True,True,True
LAPTM5,False,True,True,True
LCP1,False,True,True,True
LEPROTL1,False,False,True,False
LGALS1,False,True,False,False
LGALS3,False,True,False,False
LGALS3BP,False,True,False,True
LGALS8,False,False,True,False
LPAR1,True,False,True,False
LPAR6,False,False,True,False
LPL,True,False,True,False
LRP1,True,True,True,False
LTB,False,True,True,True
LY6E,False,True,True,False
MASP1,False,False,True,False
MMP14,False,True,False,False
MMP17,False,False,True,False
MMP2,False,True,False,False
MMP25,False,True,False,False
MR1,False,True,True,False
MSN,False,True,False,False
MT-ND2,True,False,True,False
MX1,False,True,True,False
MX2,False,True,True,False
MYD88,False,False,True,False
MYO1F,False,True,True,True
MYOF,False,False,True,False
NAMPT,False,True,False,False
NCAM1,False,True,False,False
NCAN,True,False,False,False
NCKAP1L,False,True,True,False
NEUROD2,True,False,True,True
NFKB1,False,True,True,False
NMI,False,True,True,False
NNMT,False,False,True,True
NOTCH2,True,False,False,False
NPPA,True,False,False,False
NRP1,True,False,True,False
NTRK3,True,False,False,False
OAS1,False,True,True,True
OAS2,False,True,True,True
OAS3,False,True,True,True
OASL,False,True,True,False
PARP12,False,True,True,False
PAX7,True,True,True,False
PDE10A,False,True,False,False
PDE3B,False,False,True,False
PDGFRA,False,False,True,False
PDGFRB,False,True,False,False
PECAM1,False,True,True,True
PIK3AP1,False,False,True,False
PIK3R1,False,False,True,False
PIK3R5,False,True,True,False
PLEK,False,True,False,False
PLP2,False,True,True,False
PLSCR1,False,True,True,False
PLXDC2,False,True,False,False
POFUT2,False,True,False,False
POU4F2,True,False,True,False
PRF1,False,True,True,True
PSMB9,False,True,True,True
PSME2,False,True,False,False
PTGER3,True,False,False,False
PTK2B,False,True,False,True
PTPN6,False,True,True,True
PTPRC,False,True,True,True
RARRES3,False,True,True,False
ROBO1,True,False,True,False
ROBO2,True,False,False,False
RSAD2,False,True,True,False
S100A10,False,True,False,False
S100A11,False,True,False,False
S100A4,False,True,True,False
S1PR1,False,True,False,False
S1PR4,False,True,True,True
SASH3,False,False,True,True
SCARB1,False,True,False,False
SELL,False,True,True,True
SELPLG,False,True,True,False
SERPING1,False,True,False,True
SIGIRR,False,True,True,False
SLA,True,True,False,False
SLAMF1,False,True,True,True
SLAMF6,False,True,True,True
SLC27A3,False,False,True,False
SLC9A3R1,False,True,False,False
SMIM12,False,False,True,False
SMPD1,True,False,False,False
SNX20,False,True,True,True
SOCS3,False,True,False,True
SP110,False,True,True,False
SPP1,False,True,False,False
SRGN,False,True,True,True
ST3GAL6,False,False,True,False
ST8SIA1,False,False,True,False
STAT1,False,True,False,True
STAT2,False,True,False,False
STAT3,False,True,False,False
STAT4,False,True,True,False
STAT5A,False,True,True,False
STAT6,False,True,False,False
TAB3,True,False,True,False
TAP1,False,True,True,True
TBX21,False,True,False,False
TGFB1,False,True,True,False
THBS4,True,False,True,False
THEMIS2,False,True,True,False
TIMP2,False,False,True,False
TIMP3,False,True,False,False
TIMP4,False,True,False,False
TLR4,False,False,True,False
TMIGD2,False,True,True,False
TNF,False,True,False,False
TNFAIP3,False,True,True,False
TNFAIP6,True,False,False,False
TNFRSF14,False,True,True,True
TNFRSF18,False,True,True,False
TNFRSF1A,False,True,False,False
TNFRSF1B,False,True,True,True
TNFSF10,False,True,True,False
TNR,False,True,False,False
TNXB,False,True,True,False
TPST2,False,False,True,False
TRAF1,False,False,True,False
TRAF5,False,True,True,False
TRIM14,False,True,True,False
TRIM21,False,True,False,True
TRIM22,False,True,True,True
TSPAN2,False,True,False,False
TSPAN3,False,True,False,False
TUB,False,True,False,False
TYMP,False,True,False,False
UBE2L6,False,True,True,True
VAMP8,False,True,True,False
VAV1,False,True,True,True
VCAM1,False,True,False,False
VCAN,False,False,True,False
VEGFA,True,True,True,False
VKORC1,False,False,True,False
VSIR,False,True,True,False
XAF1,False,True,True,True
