gene_name,GG7_with_T_fpkm,GG7_with_T_1_fpkm,MN7_with_T_fpkm,RN4_with_T_fpkm,RN4_with_T_1_fpkm
RBFOX1,0.316890929,0.701815141,3.711179807,3.095178982,2.881709491
CD53,17.52236655,8.23027591,1.870063603,1.538801111,1.443675556
SPN,7.237018826,3.330263561,0.77074455,0.769481198,0.781597464
CXCL9,10.80232273,7.608749904,1.62069041,0.952746547,0.671062893
CD8B,8.652307551,4.800442358,0.769299018,0.674313146,0.714314024
NEBL,7.550188812,7.181725458,3.516550407,3.595457966,3.348043995
CD3D,37.18697268,19.21412839,4.381737437,4.215057384,3.002982162
SASH3,11.79671529,6.073851028,0.83607638,1.310665923,0.67824136
GBP1,38.71392386,24.09674865,9.757379274,7.979704731,7.887380884
CD5,11.66429032,6.31499923,1.579724495,1.110644784,0.866119351
RTL5,33.10508754,31.67575561,14.50921761,13.51967087,16.10636164
PPP1R3C,1.5066901,2.412181698,7.825604883,11.00360189,11.83170537
ITGA6,18.25562486,15.07338037,7.307123224,6.970636423,6.706272234
LTB,9.402370636,4.417071123,0.452024809,0.45666088,0.536970915
HCLS1,6.774176265,3.332725771,0.781095556,0.60749189,0.734503933
CCDC144NL,1.373470268,3.32907794,0.053850065,0.056278307,0.092264077
TSIX,0.051971584,0.022422262,0.264848018,0.511801704,0.452065319
EMB,9.029360053,5.422205028,1.548652874,1.50813444,1.797066223
ARHGAP30,9.183485362,4.253521387,0.986528078,0.658702907,1.00164097
TMEM132B,0.738198372,0.54339362,2.545133128,2.213504689,1.934054343
GDF7,0.051697294,0.061504759,0.967942344,0.68926927,0.637355584
CARD11,3.679449057,2.096983496,0.353783598,0.225950168,0.363693346
TMEM132C,0,0,13.26844037,10.67612677,9.407407128
GIMAP4,8.503367921,5.468398476,1.30777325,0.947903246,0.896269984
SOX2-OT,1.913606111,1.674101803,0.64349712,0.427963526,0.453042315
CNTNAP4,0.028273929,0,2.711776931,5.835922369,5.888480681
ELF4,5.159291023,4.296057192,1.425442151,1.293703446,1.322138231
TRAF3IP3,4.564054173,1.809244739,0.298433584,0.34307982,0.409057248
CTSW,13.91328942,8.022703628,1.74910899,2.01077905,1.844208068
CD4,5.658505818,3.522440164,0.898296156,0.996818611,0.899247604
SNX20,1.855330381,1.082154696,0.128626223,0.126024676,0.143248237
PAPPA2,0.192829228,0.173017141,0.863354978,0.937669707,0.904940919
HSPG2,2.540939735,2.649623919,5.828142158,5.259150884,5.144735418
RUNX3,6.148898103,3.426400517,0.77726014,0.716114391,0.953230906
XIST,3.547332768,2.656356245,20.9003325,43.62433536,44.52124421
SERPINB9,4.839919157,4.054596728,1.134525923,1.291339779,1.216344341
NRP2,29.04504124,22.23211473,11.34127079,11.14645812,10.52624755
CD7,19.95214644,10.6245038,3.382611002,2.810437815,3.268718884
TMEM132D,0.006476028,0.013038541,1.418772238,1.595491987,1.568293688
DEF6,9.577651677,5.455117962,1.435881819,1.244192846,1.096176986
CYP26B1,1.443515137,1.480745345,4.879374214,9.904785614,11.1257046
GPSM3,11.73867483,6.244381508,1.322347297,1.381975445,1.367936858
SVIL-AS1,1.045693845,0.443232076,3.972841068,4.674614747,4.683889745
FAM122B,20.78659557,24.11970906,10.47194229,8.940832628,9.041242617
STK26,10.88755736,9.378788747,3.889246254,3.812385462,3.478328176
ETS1,14.92013909,6.884058617,1.77937215,2.11657288,2.332524647
HAP1,16.30831616,15.46108403,6.838603408,7.477133311,8.059210003
ROBO3,3.8605462,4.582186004,9.368631277,11.46995307,12.50751046
SLC9A6,18.71383539,19.67909227,10.31724676,9.746324669,10.05628749
C1orf61,7.757862946,7.929524514,13.92900096,15.58959829,16.27575473
ATP2A3,6.155139511,2.984365546,0.718050338,0.73640242,0.929028175
ABCA8,3.00345044,4.012195453,11.30612831,9.506939245,8.526786139
TBC1D10C,4.817624316,2.04153178,0.398369684,0.300147213,0.43175079
MYO1G,4.961374674,2.362479151,0.646657393,0.623191804,0.697464403
TNFRSF1B,7.76203427,4.409076381,1.105456317,1.257997988,1.296361723
APOBR,2.452804318,1.544759339,0.121986301,0.20397918,0.183924738
XAF1,2.015572078,1.248097806,0.216776019,0.215588879,0.268376184
ITGA2,2.93095551,1.615208989,0.4093558,0.409479822,0.376736037
ITGB7,5.899783325,2.933562554,0.763899398,0.496268917,0.608428153
HMGB3,37.21332951,36.74094475,19.0532578,19.86976768,20.64981205
RCSD1,3.934345849,1.855278545,0.275051589,0.384681616,0.421361873
TCEAL9,61.48511686,56.89541303,29.244677,31.38380877,30.99530791
FXYD5,12.41507451,6.54949252,1.916436176,2.019005411,1.758276475
HTATSF1,65.89245379,69.15634116,35.51892561,37.88363635,37.60561368
TRIM7,0.518245545,0.659989504,2.332402019,1.91382673,2.46253801
IFIT2,14.03250039,12.1354843,2.695799098,4.290874387,4.298043599
GPNMB,13.49504081,13.23387601,4.702305322,5.922825912,6.119943408
ACCS,1.085284996,1.092531691,0.055578517,0.116169399,0.065297501
PRKCH,2.562441217,1.811951971,0.481791339,0.333853391,0.531177021
TRAF1,4.525663384,2.839380315,0.875078162,0.539727201,0.491579108
CD3G,4.072967769,2.26050092,0.422054794,0.428483897,0.512387924
TFAP2B,0.447076611,1.065146363,8.876809632,13.71515333,13.63147188
ST8SIA3,7.038978216,5.713882804,2.441650636,2.774077966,2.858112953
FZD10,0.04188108,0,4.425582727,11.63650877,10.79913626
PDE3B,5.573135007,2.994286907,1.051030721,1.061259746,1.066931157
ID1,4.310524377,4.937831796,13.01804565,16.13395902,14.8610863
CXorf57,18.51409531,20.97574908,8.464124961,5.862331357,5.905326761
APOL6,10.62037314,7.610592759,3.555785578,3.489241121,3.677311894
MBP,1.910002227,1.236411234,0.400075749,0.42720571,0.470036773
RAB31,27.04289666,18.57834502,5.978822473,8.230264114,8.0815535
TYW3,0.645182753,0.519592628,2.124464375,3.094752138,3.00811271
APOOL,10.54483466,12.10856405,5.121636217,5.526081943,5.374030197
GRIN3A,0.056419039,0.238542198,9.181949905,6.068926897,6.261532626
ZNF439,0.571953829,0.434044182,1.90110274,2.961674268,2.617982097
ITK,4.441205222,2.230069337,0.720416728,0.570295346,0.648482201
MIR7-3HG,25.39550938,24.66230123,9.630058785,8.903037873,7.107551643
COL1A1,1.693848476,2.184294188,20.57760193,57.25199488,54.73176808
PDGFRA,0.108283162,0.099527394,1.421178014,4.103100303,3.967628328
TCEAL7,57.06800627,56.50855928,27.98226872,27.1904073,29.89732347
MAGEL2,23.15824928,23.49443006,7.197231317,10.24729718,9.835747897
ABI3,2.518492135,1.539965272,0.113006202,0.098418293,0.103263637
PARVG,2.180796599,1.134978914,0.235133669,0.290415828,0.212420555
CCR7,11.85638675,5.480424122,1.327958051,1.407114747,1.59268103
GPR171,8.499922646,4.162708491,0.309240371,0.605971574,0.812417319
ZNF560,0.500830374,0.585493006,2.430297465,4.253030626,4.068936867
CD48,7.361092276,4.28272655,1.102034827,0.730904626,0.426049241
CD8A,16.70575655,7.32346023,2.443969027,2.341326235,2.198373155
ST6GAL2,6.199801649,7.940624405,19.2818372,16.07463376,15.45613364
CD27,15.76005827,7.262051076,1.673132963,1.422863277,1.888626016
IQSEC2,5.062153188,5.162774995,2.528891827,2.593164058,2.707294632
TMSB4XP8,404.5550993,309.5422011,108.6187713,134.64439,140.8974964
PTPN22,3.500190554,1.741295236,0.31844845,0.370383247,0.380169794
APOL1,11.39262963,11.03616696,4.114380592,2.4109713,2.702637399
OAS2,2.918477433,2.186906108,0.539076628,0.254680901,0.455487596
SMARCA1,51.92975526,52.90022575,30.78866024,29.08561702,28.06162721
SPOCD1,1.429182244,1.373624531,0.346031318,0.249050373,0.277419912
CXCL10,20.64922425,25.06218744,5.546144531,2.178726594,3.558380649
ID3,14.32924906,11.11386857,28.31548469,28.38171072,30.44938382
SLAMF7,1.839162603,1.126135501,0.162708978,0.160043254,0.078713685
GATM,12.86128628,12.67641903,4.845727723,5.955568807,6.307941045
TMEM140,4.338141114,3.290286751,0.479971003,0.731520663,0.520827321
PRF1,4.791532699,2.930520089,0.474620103,0.6677219,0.550467725
CD37,5.010128603,2.859877477,0.855997313,0.51700707,0.533317849
MN1,12.24510661,14.01761771,29.0362726,25.72368892,24.33792254
SPATA18,1.622775296,1.661615695,4.175412594,4.04571091,4.747911992
ENOX2,6.317495162,6.672272884,2.443124195,2.45161141,2.859768068
HIST1H1C,18.76963872,27.15702606,59.80292916,59.67582469,66.66295099
IKZF3,1.364282035,0.723565403,0.11092855,0.125591497,0.177388934
PDE1B,2.201280112,2.197814802,4.693727988,4.740387236,4.452752988
KCTD12,2.576106903,3.141607595,6.241936157,8.674570959,8.58625948
ICAM1,18.12440458,20.2118491,7.626322862,8.309372034,9.717593114
BIN2,4.101901892,1.771339411,0.29992203,0.379752261,0.379474554
IL2RB,7.984013023,3.984314509,1.407400081,1.002861466,1.214116724
COTL1,36.41310291,26.73163573,13.70203823,14.78817378,13.91472169
DTX3L,10.31449347,7.215692435,2.963992714,2.895805648,3.52243741
COL11A1,1.602694162,1.933030717,6.945449943,4.570549427,4.812305867
MTMR1,13.09393448,12.07987911,5.772091586,6.590498578,6.557984057
LRRC4C,2.489359465,2.342360701,5.138729881,6.602492989,6.203067523
NLRP2,3.490956843,3.631165443,1.223658056,1.137168578,1.466333837
GIMAP6,3.126342873,1.744525431,0.29553543,0.19767162,0.388881411
PTPN7,3.390183354,1.60878947,0.321121812,0.266026013,0.461626576
SIT1,6.214937636,4.588053206,0.766886601,0.673961351,0.955597187
MT-CO2,5341.871607,3887.41686,1973.437883,2058.608875,2258.623946
RUNX1T1,2.15633566,3.250989388,8.72171321,6.825533673,6.942337669
CSMD3,0.4032207,0.569623904,1.248249576,1.391505558,1.371844394
GZMA,22.49894708,12.27905305,3.466703316,3.298576061,3.687921047
MX1,2.589753709,2.366148602,0.483188079,0.645247509,0.860985746
S100A4,27.84834394,13.63465648,2.843125798,4.174011026,4.144448309
SH2D2A,9.101565595,4.571988711,1.399501439,1.250915311,1.060096609
GNLY,5.616484794,3.325874907,1.000647512,0.625877119,0.62344025
ZNF831,0.517203367,0.310009423,0.031887776,0.024994261,0.021853985
MASP1,1.949549788,2.84221811,5.728990569,10.31068954,10.28066756
SYTL3,12.18224587,7.278520002,2.459809958,1.560799941,1.072786532
ACAP1,4.03785305,2.535847712,0.903826275,0.7328655,0.973998324
PTPRB,0.497815185,0.580433389,0.060437829,0.054852192,0.008720104
CD28,2.588687978,1.406847871,0.331423171,0.257301884,0.298523866
TFPI2,28.13649647,34.08555061,57.36445388,71.1897604,72.41091132
GMFG,14.11437364,7.42934302,1.459119903,2.271150731,1.361693925
IL10RA,2.527845212,1.491538575,0.491004649,0.447510481,0.41476244
TCIM,28.81535759,34.60531744,15.16956899,12.37259148,12.55082068
FLI1,1.82217547,0.91434921,0.209436686,0.215922894,0.147414781
GCH1,5.620494846,5.486095259,1.881011404,2.039549868,1.804786636
BEX3,305.8769155,308.1755689,186.3137442,169.0888242,180.877161
NKAIN3-IT1,1.522924562,2.155503221,4.743991809,4.580230785,4.935415144
SKAP1,3.547080732,2.281806181,0.366843397,0.46553934,0.26338467
CLEC2D,5.275282303,3.374591562,1.070491602,1.393242007,1.321483634
NXPH4,3.303151028,5.792295924,14.04928147,15.96445421,14.53865562
FBN2,0.736086321,0.772458941,1.766719578,2.985722827,2.781967467
THSD7A,3.043626716,3.659014317,6.331849149,6.889406588,6.863096552
IL2RG,4.432383935,2.490018786,0.603354854,0.525468104,0.528365612
IFI44L,6.559476893,6.49967755,2.565829365,3.33066726,3.03397441
GBP4,2.093848927,1.339977664,0.256690874,0.252485408,0.393234403
TCF7,3.628825139,1.732565908,0.602175685,0.302654589,0.321335342
SAMSN1,1.334330396,0.969623594,0.115977564,0.1212073,0.183424899
CASK,12.73957797,14.03678462,7.876182983,7.381536841,7.679440003
CD84,1.133689834,0.523285033,0.094963469,0.073128354,0.041104618
MMGT1,21.73224695,22.2845509,10.97649578,12.38968882,11.65287882
GPC3,8.653177976,10.56543834,3.207803255,3.878501202,3.625083133
SLA2,5.733469701,3.094998192,0.671123764,0.876733144,0.597932792
APBB1IP,2.969359093,1.309217203,0.209150891,0.255012403,0.222972677
EN1,1.349453089,1.294535991,8.526969265,5.98006736,4.174198178
XIAP,21.1650782,23.10024902,12.94176662,12.78881651,12.765079
NPTX1,2.597464197,2.305159735,5.865824948,5.113416899,5.174089026
UNCX,4.541520495,6.84650719,17.88852867,14.64691024,16.43918787
GRIK1,2.257411924,2.968365806,6.062943477,7.612722251,8.310361528
MAOB,11.12561977,13.64091367,2.832073803,4.464752163,4.342430623
FCMR,4.897910238,2.573348708,0.492517094,0.247068478,0.486060358
EPHB6,1.961780565,2.797746412,5.750661034,6.286868149,6.751172997
SELPLG,11.18809219,5.955042425,1.780550009,2.151595941,1.932114826
KCTD8,0.508334704,0.409383177,2.66868493,2.377820902,2.227576913
HMX3,4.179467557,2.791809456,0.039434958,0.164852738,0.216210992
SH2D1A,4.369309992,2.349875478,0.619381262,0.497324156,0.517667157
EVI2B,3.427497447,2.292835572,0.178599249,0.244981751,0.42840455
ZDHHC9,27.87699892,33.42064853,16.11899949,16.52313055,15.70887498
FZD10-DT,0,0,1.0218586,3.44346588,3.374775658
SSPO,0.405218859,0.449371482,1.113550774,1.040299604,0.959574323
SLC25A14,10.58273228,12.18625827,4.965462732,5.333964029,4.972852814
STK17B,8.557781271,4.233859894,1.757492608,1.623680469,1.541735523
LRRC3B,1.212222502,0.868700086,2.49436276,3.238226644,3.212842014
GRAP2,2.472242173,1.020834539,0.216713887,0.199151562,0.256073802
AL671883.2,5.039506809,3.211447847,14.75002717,13.78094452,13.56369441
DOK2,4.683331391,1.877496794,0.334742328,0.284242357,0.229412477
ARHGAP25,1.857255356,1.167477922,0.20362673,0.288178582,0.22095994
TMC8,4.800849894,2.399554858,0.847356759,0.518056299,0.452967771
GABRA1,0.19820289,0.392401793,1.994362571,1.310525786,1.490242446
IL6ST,22.44544629,18.50512998,10.28988847,11.23513238,10.93123172
POU3F4,4.561647794,4.91415082,15.50280276,10.45120321,11.52648642
SAMD9L,2.754853494,1.810045496,0.654797162,0.619956622,0.63981484
CSMD2,0.691419561,0.757003013,2.341266278,1.697345613,1.711069998
GBP3,9.34058217,8.340289053,2.981905029,3.937647881,3.895420659
FHL1,53.07603146,54.03803321,28.79408837,31.93447627,32.88078143
NR4A2,2.356151216,2.476525706,8.943603876,6.269853095,6.073474133
TSC22D3,23.62996255,22.41351419,13.50058178,12.49149921,12.02624875
RPS4X,298.6767889,330.6315088,137.8098636,172.9942497,172.3088497
IL4R,3.700258066,2.75459636,0.91038952,1.144190303,1.032706455
APOBEC3G,2.966323575,1.815431546,0.263743493,0.48458655,0.513108411
UTS2,4.860637218,1.57094032,0,0.121464989,0.141605524
MT-ND5,2198.905263,1914.419275,1241.260541,1195.770529,1221.189394
CORO1A,23.8260612,14.42139297,7.093847766,6.793436331,7.25024789
BEX4,156.2224829,173.4853693,96.72911109,95.64864815,97.87495515
ARHGAP9,3.145679984,1.745274928,0.496225141,0.462026568,0.556499766
CD69,2.475331535,1.514659932,0.277673903,0.204843498,0.179106987
1-Sep,6.768924008,3.565655955,1.129829775,1.261023764,1.368212587
TXLNGY,1.574650561,0.677039723,0.203292632,0.14022336,0.117032728
TESPA1,1.987721889,0.853635209,0.128875796,0.125066637,0.176647607
CASP4,1.496532886,0.832720888,0.204000906,0.173224877,0.192238866
EBF1,1.661251198,2.418925783,4.761991367,7.187294547,7.399513226
TRIM25,8.651438272,7.044067868,3.656368939,3.877214604,4.077440968
PARP15,1.231350899,0.762169829,0.041998552,0.114120184,0.057566618
FAM78A,3.499457823,1.836901346,0.429008452,0.527474801,0.634154035
FAM199X,25.76911335,26.62774872,16.2399576,15.17973555,15.64478034
PARP14,7.832045262,5.686921988,2.939833829,2.957241361,3.099207913
GIMAP7,8.244303906,3.819171292,0.736579705,0.673569783,0.807692655
APC2,19.02115096,18.42393113,36.69029095,30.5048194,32.25502361
WDR44,11.87427286,11.34984493,5.878473991,6.310369218,6.020501066
TOP2A,17.65238393,11.59365694,4.38354751,5.880475428,5.811447149
CCR4,4.544780522,2.473847203,0.687506123,0.523260968,0.717006646
IKZF1,3.688906971,1.932728066,0.842194317,0.599312478,0.545284913
TRIM48,1.743933961,3.862272933,0.032011907,0.016727704,0.087756226
IRF4,4.412439466,2.252232167,0.792129154,0.815553581,0.634253735
FMNL1,8.152393218,4.383469284,2.057639683,1.745225505,1.841189565
NRN1,2.42079118,5.329601546,16.8497037,13.51861498,14.24408324
FTX,3.322911651,3.455199569,1.771566369,1.79544927,2.029849845
CYTIP,4.490902816,2.744825827,0.93108144,0.557045242,0.647355767
NMRK1,5.038190964,4.510947149,1.555869782,1.963741602,1.55843932
BRS3,2.555322419,0.846607685,0,0.017064266,0.022380471
KDM5D,1.166872474,0.550776042,0.117317228,0.109835772,0.053601499
BEX1,258.3620548,281.5475939,122.3353176,152.6387533,149.2632853
TMEM173,3.01089066,2.204360046,0.480594342,0.583883779,0.741084234
TENT5A,4.284310617,4.25957796,7.512115142,9.220563222,9.563478672
CXCR3,3.948973296,1.80248403,0.173340706,0.28467544,0.135768465
FAM198B,11.64053788,12.67820215,6.850527761,5.733070401,6.493264698
LPL,39.52486539,63.35055995,13.45606592,19.59421765,20.20880929
IFI16,15.63901544,10.55951862,3.678557517,5.104604013,5.293636576
TNFAIP3,6.503946797,4.410574879,1.941502189,1.947696266,2.058648829
ALOX5AP,6.064526884,4.276204215,1.213745916,0.775180351,0.554552828
LCP2,3.763342256,1.585427339,0.530003872,0.3236663,0.516403718
POU4F1,0.846427032,1.450562749,7.782441647,3.827469452,4.615500789
PSPHP1,0,0,41.29474662,25.37547885,22.83511149
RASSF5,6.029362592,3.497636218,1.584786712,1.313218309,1.008863238
NPAS2,2.277873408,1.98290777,0.992469063,0.837905187,0.903521693
DMD,4.954923758,4.32456714,2.614963121,2.262486146,2.212932651
RPS6KA3,12.16424887,10.09844834,6.058878295,4.900062866,4.835942786
NRGN,4.865308089,3.382649687,10.67202142,15.06796848,13.70763649
BMS1P10,0.229663666,0.491294013,3.535951795,2.74125779,2.701418164
CACNA1A,0.388548203,0.478775676,0.931381903,0.858568543,0.904951134
CYTH4,2.528499669,1.242745836,0.360387252,0.207935601,0.123493991
SEMA3F,2.221589083,2.408455689,6.690329341,4.953511379,5.452260144
UBASH3A,2.352336698,1.437320109,0.307199832,0.246963298,0.097170687
KCNJ6,0.456687321,0.591420111,1.689030943,1.288179858,1.241718732
DNAH6,0.352601875,0.41980406,1.054256273,1.01951855,0.994644158
CDK16,46.51317607,43.81905999,26.67375949,28.45082774,28.66002799
UTP14A,8.082874205,7.764423902,3.859483009,4.027603088,3.924927812
GFI1,3.303441539,1.355350584,0.29427486,0.285577031,0.192074745
FLRT2,0.261261422,0.322479626,0.648149616,0.648979232,0.737613473
GYPC,5.685169816,4.210675654,1.104251232,1.610590064,1.713168667
LINC00648,0.150568194,0.37893393,1.368106635,3.026406174,3.208740224
DCBLD2,10.16008102,10.22792219,6.060128831,5.021263949,5.005272956
HTR5A,0.056092105,0.084699968,0.707873987,0.744725862,0.763278623
PIK3R5,1.410063311,0.626782769,0.154067431,0.119150908,0.084470921
GBP1P1,4.402570453,3.824042684,1.022693318,1.120194334,1.320914029
LAMB1,5.746938241,5.371670558,19.3893839,12.55197408,11.8161764
RAB27A,4.455085858,3.003604075,0.957330211,1.323935872,1.187762124
TCEAL4,58.51881285,58.21348566,32.68132188,33.95341995,36.98978952
CCDC69,2.633634626,1.607359863,0.463220563,0.537360332,0.419052237
CDH4,5.354043975,5.791362045,9.212426714,10.85433678,11.09201213
PLCB2,1.944923159,1.066809857,0.358729348,0.299266596,0.301923207
BTNL9,0.139964838,0.165764018,1.28007361,0.894759344,0.78613967
CD226,0.873489834,0.483627278,0.098361853,0.129382746,0.148769904
KCNH8,2.891565668,4.051215432,7.072507014,8.405780266,8.240028437
GPR65,1.763006377,0.775190553,0.122752425,0.133632976,0.140212015
AC136475.3,14.810903,9.921988389,3.119671995,1.46153454,1.474508683
LOX,2.659701503,4.789495338,11.4079425,9.604120829,10.39014258
ANO9,1.225353895,0.601906053,0.119238809,0.09735594,0.102148982
CD99L2,34.06523592,36.67013216,19.7006564,22.27959226,20.79717471
CACNA1G,2.07169211,2.375313519,5.107397697,4.28211313,4.290487673
TOX2,11.27322239,11.53453719,5.99922801,4.919803134,4.721355759
LRP1,23.50148988,22.94350515,38.95647371,36.76940299,34.63648422
MOSPD1,9.882964142,9.845499607,4.323103313,4.69876525,4.930095575
PAX7,3.258710234,3.653083947,9.811246332,7.213554214,7.080584625
TCEAL8,64.04007816,65.4490466,31.72138966,35.68367032,38.29137361
GVINP1,1.514955496,0.623147372,0.115122223,0.174740875,0.097683142
